estimand,point,ci_lo,ci_hi,clusters,messages,bootstrap_reps,seed,substrate,cluster_type,cluster_width,unit
WCL,1411.9231919391555,-27.133253401319028,2417.5722742955622,106,2498,2000,960500,recovered29,spatial,500,m
ABS,171.4507502129295,-42.0390014141815,421.50950151465725,106,2498,2000,960500,recovered29,spatial,500,m
DIFF,351.87781209335844,-45.43753554012519,741.5843013995092,106,2498,2000,960500,recovered29,spatial,500,m
Min-Max,774.4935137635118,7.47006867354985,1757.481851130072,106,2498,2000,960500,recovered29,spatial,500,m
newly_exhausted_pp,14.211369095276222,0.0,31.143695014662757,106,2498,2000,960500,recovered29,spatial,500,percentage points
WCL,1411.9231919391555,-24.746915494209738,2486.1773148143893,39,2498,2000,961000,recovered29,spatial,1000,m
ABS,171.4507502129295,-38.25434528690361,463.1876242689612,39,2498,2000,961000,recovered29,spatial,1000,m
DIFF,351.87781209335844,-51.850934067209614,798.6478193240058,39,2498,2000,961000,recovered29,spatial,1000,m
Min-Max,774.4935137635118,-10.279492042686064,1832.352862528659,39,2498,2000,961000,recovered29,spatial,1000,m
newly_exhausted_pp,14.211369095276222,0.0,33.76288880812469,39,2498,2000,961000,recovered29,spatial,1000,percentage points
WCL,1411.9231919391555,-42.43820922177528,2421.428069098921,12,2498,2000,962000,recovered29,spatial,2000,m
ABS,171.4507502129295,-51.276202913778626,465.5231814527509,12,2498,2000,962000,recovered29,spatial,2000,m
DIFF,351.87781209335844,-69.90948510434512,837.0520226040377,12,2498,2000,962000,recovered29,spatial,2000,m
Min-Max,774.4935137635118,2.200555181719,1804.8552974431761,12,2498,2000,962000,recovered29,spatial,2000,m
newly_exhausted_pp,14.211369095276222,0.0,33.84229207618429,12,2498,2000,962000,recovered29,spatial,2000,percentage points
WCL,687.0083689754781,-4.207021797465683,1951.3900660511326,106,2498,2000,970500,official32_minus71,spatial,500,m
ABS,276.73748219053505,-22.29095338438857,700.4148324492251,106,2498,2000,970500,official32_minus71,spatial,500,m
DIFF,399.1517188509084,2.8374674593678724,1110.1160398389695,106,2498,2000,970500,official32_minus71,spatial,500,m
Min-Max,461.21748952575103,-0.9926886091715884,1384.8310799380124,106,2498,2000,970500,official32_minus71,spatial,500,m
newly_exhausted_pp,13.090472377902321,0.0,29.355542459723946,106,2498,2000,970500,official32_minus71,spatial,500,percentage points
WCL,687.0083689754781,-5.458878675496259,1971.7414344464466,41,2498,2000,971000,official32_minus71,spatial,1000,m
ABS,276.73748219053505,-20.653465923445946,733.6895778223327,41,2498,2000,971000,official32_minus71,spatial,1000,m
DIFF,399.1517188509084,3.666843564692306,1189.755512079149,41,2498,2000,971000,official32_minus71,spatial,1000,m
Min-Max,461.21748952575103,-4.9774604729970005,1466.5741801458519,41,2498,2000,971000,official32_minus71,spatial,1000,m
newly_exhausted_pp,13.090472377902321,0.0,30.88711842672371,41,2498,2000,971000,official32_minus71,spatial,1000,percentage points
WCL,687.0083689754781,-9.65871070902578,1985.479149500395,14,2498,2000,972000,official32_minus71,spatial,2000,m
ABS,276.73748219053505,-28.97160615409582,745.5570583429229,14,2498,2000,972000,official32_minus71,spatial,2000,m
DIFF,399.1517188509084,-3.671698676043485,1215.5120157779497,14,2498,2000,972000,official32_minus71,spatial,2000,m
Min-Max,461.21748952575103,1.2938877719280386,1513.8639732230433,14,2498,2000,972000,official32_minus71,spatial,2000,m
newly_exhausted_pp,13.090472377902321,0.0,31.91307679897595,14,2498,2000,972000,official32_minus71,spatial,2000,percentage points
