estimand,point,ci_lo,ci_hi,clusters,messages,bootstrap_reps,seed,substrate,cluster_type,cluster_width,unit
WCL,1411.9231919391555,1207.9946370855826,1572.0515613438731,1786,2498,2000,970005,recovered29,temporal,5,m
ABS,171.4507502129295,140.51250427261462,206.38453845117587,1786,2498,2000,970005,recovered29,temporal,5,m
DIFF,351.87781209335844,302.67151088999293,412.2640383234288,1786,2498,2000,970005,recovered29,temporal,5,m
Min-Max,774.4935137635118,694.3210569544881,876.2495869298535,1786,2498,2000,970005,recovered29,temporal,5,m
newly_exhausted_pp,14.211369095276222,12.690680842543259,15.628895541528571,1786,2498,2000,970005,recovered29,temporal,5,percentage points
WCL,1411.9231919391555,1185.84797980477,1592.2536382297926,1077,2498,2000,970015,recovered29,temporal,15,m
ABS,171.4507502129295,138.36761780105266,209.02326490269246,1077,2498,2000,970015,recovered29,temporal,15,m
DIFF,351.87781209335844,298.6584853744291,412.33277336853394,1077,2498,2000,970015,recovered29,temporal,15,m
Min-Max,774.4935137635118,683.7644363882986,890.7172719668994,1077,2498,2000,970015,recovered29,temporal,15,m
newly_exhausted_pp,14.211369095276222,12.71991907514451,15.74306000033804,1077,2498,2000,970015,recovered29,temporal,15,percentage points
WCL,1411.9231919391555,1167.6757241735072,1590.2236886934236,709,2498,2000,970030,recovered29,temporal,30,m
ABS,171.4507502129295,139.84302565129286,208.87980709751957,709,2498,2000,970030,recovered29,temporal,30,m
DIFF,351.87781209335844,295.43549884352245,416.72963538757716,709,2498,2000,970030,recovered29,temporal,30,m
Min-Max,774.4935137635118,679.6370786102747,898.7782358973394,709,2498,2000,970030,recovered29,temporal,30,m
newly_exhausted_pp,14.211369095276222,12.556293072717132,15.928291768112125,709,2498,2000,970030,recovered29,temporal,30,percentage points
WCL,687.0083689754781,610.2930009268098,807.440247127281,1718,2498,2000,980005,official32_minus71,temporal,5,m
ABS,276.73748219053505,238.08462542520618,312.4800137117747,1718,2498,2000,980005,official32_minus71,temporal,5,m
DIFF,399.1517188509084,346.50104500189036,444.985873924892,1718,2498,2000,980005,official32_minus71,temporal,5,m
Min-Max,461.21748952575103,406.57665319225265,531.6930185508807,1718,2498,2000,980005,official32_minus71,temporal,5,m
newly_exhausted_pp,13.090472377902321,11.748216993239177,14.62342117818401,1718,2498,2000,980005,official32_minus71,temporal,5,percentage points
WCL,687.0083689754781,597.7301493659663,821.1804881613056,1076,2498,2000,980015,official32_minus71,temporal,15,m
ABS,276.73748219053505,235.00080146241245,312.23226030789573,1076,2498,2000,980015,official32_minus71,temporal,15,m
DIFF,399.1517188509084,340.40221832647785,449.4075007736258,1076,2498,2000,980015,official32_minus71,temporal,15,m
Min-Max,461.21748952575103,397.91110723257464,542.4689814475139,1076,2498,2000,980015,official32_minus71,temporal,15,m
newly_exhausted_pp,13.090472377902321,11.639895353230072,14.738298583745312,1076,2498,2000,980015,official32_minus71,temporal,15,percentage points
WCL,687.0083689754781,590.7508069476478,832.5423182041566,699,2498,2000,980030,official32_minus71,temporal,30,m
ABS,276.73748219053505,231.85208167048748,318.5881151457488,699,2498,2000,980030,official32_minus71,temporal,30,m
DIFF,399.1517188509084,338.6294483411555,453.19362189814177,699,2498,2000,980030,official32_minus71,temporal,30,m
Min-Max,461.21748952575103,396.3939819483769,546.3253425112333,699,2498,2000,980030,official32_minus71,temporal,30,m
newly_exhausted_pp,13.090472377902321,11.479492936259224,14.889272572314553,699,2498,2000,980030,official32_minus71,temporal,30,percentage points
