substrate,method,N,map_n,rotation_disp_median,rotation_disp_rms,rotation_disp_max,reference_m,plus5_m,minus5_m,plus5_pct,minus5_pct,legacy_iso8_m,legacy_iso8_pct,plus5_minus_legacy_iso8_pp,exact_mag_iso8_m,exact_mag_iso8_pct,plus5_minus_exact_mag_iso8_pp,minus5_minus_exact_mag_iso8_pp,legacy_iso8_min_m,legacy_iso8_max_m,exact_mag_iso8_min_m,exact_mag_iso8_max_m
recovered29,WCL,2498,29,429.37951532109946,1157.3132880986118,3263.772855914626,597.6726773741443,895.2634410286204,548.1128436611066,49.79159578817146,-8.292136413325311,716.5097157750514,19.883297814953462,29.908297973218005,637.4576709271894,6.656652555683014,43.13494323248845,-14.948788969008325,537.8959340413887,895.5921529215507,579.6442643062264,758.005122126147
recovered29,ABS,2498,29,429.37951532109946,1157.3132880986118,3263.772855914626,641.0128583782526,811.6151073790404,535.2857562323925,26.614481561634726,-16.493756835603456,668.814356715333,4.3371202267950615,22.277361334839664,682.410812764618,6.458209666979404,20.15627189465532,-22.95196650258286,530.632610427266,769.7312239386872,606.6795932315089,755.739595041847
recovered29,DIFF,2498,29,429.37951532109946,1157.3132880986118,3263.772855914626,963.9527294582572,1077.9643470932378,842.1046940960158,11.82751126178722,-12.640457528526335,1203.319443853048,24.831789680113793,-13.004278418326573,1155.9408791736932,19.91675980038292,-8.089248538595697,-32.55721732890925,825.219994024028,1282.9929975524774,856.5160772645094,1275.483833653495
recovered29,Min-Max,2498,29,429.37951532109946,1157.3132880986118,3263.772855914626,466.0055266886784,623.2348961293035,453.18231826121416,33.73980788551128,-2.7517288300383105,504.57369367680786,8.276332528110867,25.463475357400412,510.1136739782352,9.465155403408746,24.274652482102532,-12.216884233447056,451.23709545377903,589.8502619525252,460.6253847350911,546.5432381649102
official32_minus71,WCL,2498,32,327.98968175640096,426.7637544264815,1100.2501189851637,593.7425223089783,659.1088231631829,598.9552925983062,11.009199846425783,0.8779513161793024,682.4417418515978,14.939004064873298,-3.9298042184475146,628.812473550623,5.906592491516826,5.102607354908956,-5.0286411753375235,605.0273108417427,776.6598325046654,583.3544881296862,681.3087615505809
official32_minus71,ABS,2498,32,327.98968175640096,426.7637544264815,1100.2501189851637,555.6165186828817,588.1894106406462,573.4091236308202,5.862477241493866,3.2023174887090766,636.3143991678257,14.524024713347721,-8.661547471853854,579.3600012293405,4.273357927288393,1.5891193142054727,-1.0710404385793162,590.9326360255686,683.7836995969052,552.5028836190122,647.3860656206953
official32_minus71,DIFF,2498,32,327.98968175640096,426.7637544264815,1100.2501189851637,1082.7111969409166,1155.0877612638487,1052.1037103560207,6.684752547810008,-2.8269299025791983,1301.7677991050452,20.23222838953263,-13.54747584172262,1156.8003747221724,6.842930782519544,-0.1581782347095361,-9.669860685098742,1228.2495460870607,1406.548442734439,1062.8836152674876,1265.0347719600823
official32_minus71,Min-Max,2498,32,327.98968175640096,426.7637544264815,1100.2501189851637,478.881435195019,515.0336723378,488.5079145380941,7.549308552347291,2.010200988299921,516.0499525173924,7.7615281342524725,-0.21221958190518103,501.89939258016716,4.806608837482785,2.742699714864506,-2.796407849182864,487.64112818905176,576.0991575615012,474.62500429993474,520.8332163268103
recovered27_common,WCL,2498,27,365.33166310450633,1130.4146103188132,3303.4618787020395,593.2183143536402,836.9971020932478,518.7011634249693,41.09427875726065,-12.561505456867657,687.3621521250981,15.870015387848458,25.224263369412192,639.189339302652,7.749427796931899,33.34485096032875,-20.310933253799558,534.2066801039159,753.9485881612774,602.8806276114901,724.9177768894382
recovered27_common,ABS,2498,27,365.33166310450633,1130.4146103188132,3303.4618787020395,639.9899678144121,779.470716418625,513.8252622882942,21.79420859994797,-19.71354425397866,640.6438752794515,0.10217464302956822,21.692033956918404,668.9444980129572,4.524216261924508,17.269992338023464,-24.23776051590317,524.9939914560896,724.0172490235336,590.8389670190877,737.5729082221408
