csv_row_index0,catalogue_to_transmitter_distance_m,in_calibration
463,47109.63988566994,False
854,46674.07367906458,False
1180,47111.11743870582,False
1279,46751.63899956405,False
2311,47006.0049013615,False
2859,46951.46924035449,False
3105,46793.8360948432,False
3126,46752.88005852271,False
3144,46836.42509489774,False
3372,46834.30158098596,False
5141,47090.25726383855,False
5365,47016.19273389646,False
5461,46974.89717942386,False
5833,47085.16880948744,False
5878,47044.4635586864,False
6002,46819.783933098384,False
6809,46941.65764835209,False
7020,47097.88572106738,False
7807,47100.87643875294,False
7889,47044.557718649135,False
8011,47046.45179374799,False
8037,46735.3928370892,False
8225,47096.37205619511,False
8472,46794.81030110646,False
8512,46995.804110669844,False
8658,46997.86559374928,False
8697,47088.5949853278,False
8795,46782.673490331515,False
8805,46985.34865701745,False
9012,46750.46425281214,False
9176,46895.02566468662,False
9686,46997.425395120335,False
10013,46777.856715735805,False
10195,46963.457023662144,False
10579,47105.67388058896,False
10638,46732.58107700457,False
10892,46992.58182483047,True
11478,47085.63382412229,True
12137,46985.725175996915,False
12736,47000.56435571434,True
12769,46946.18473316863,False
13457,47000.36505127221,True
13632,47040.328225240206,False
13650,46982.57818382983,False
13656,46777.0609265475,False
14555,46997.1742500947,True
14616,46745.88111526763,False
14699,46960.36042009306,False
14751,47030.17107735948,False
15582,46949.639431623626,False
15602,46990.743200849254,False
15748,46776.10112796652,True
16075,46794.495898861795,True
16080,46972.58427857557,False
16098,46921.396711891044,False
16413,46775.71033331831,False
16571,46810.706789410135,False
16601,47003.62360681517,False
16664,46790.07008705311,True
16729,46972.43252139678,False
16788,46747.3030797571,False
17409,46953.04274054618,False
17575,46788.38440425411,False
17701,46822.684528617094,False
17939,47104.07880475475,False
18165,47035.13399604458,False
18329,46935.89953942109,False
18402,46994.36555078522,False
18403,46927.86948689913,False
18616,47096.48473491346,False
18714,46951.124164776134,False
18939,46776.402841552925,False
19533,46736.11069392469,False
21065,47051.99458041791,False
21154,46963.192257785326,True
21410,46956.31083294841,False
21413,46790.62268856068,False
21810,47106.27270316837,False
21863,46799.957164304134,False
22070,47113.42138543409,False
22520,46841.158520790275,False
22855,46782.50292193918,False
22918,46762.45455476201,False
23182,47159.02533583931,False
23251,47085.846411758284,False
23300,46963.13169470486,False
23587,47103.40312957484,True
23942,47000.73507879261,False
24381,47005.670649901884,True
24499,46980.20663672392,False
24628,46741.840995877705,False
24695,46995.84200465167,False
24901,46992.563487145184,False
25112,46996.68749422054,False
25181,46912.2790039435,True
25435,46734.00155850032,False
25928,46843.27768769925,False
25986,47100.751398314314,False
26118,46993.25523131445,False
26247,46745.71030929307,False
26305,47118.05105714748,False
26624,46810.728869441176,False
26682,46695.231814483166,False
26691,46673.47101517499,True
27033,46969.265553462545,False
27312,46991.746086073894,False
27396,46779.67799644833,True
27533,46733.450201576816,False
27863,46912.509524848356,False
28531,46956.05140954537,False
28931,47015.81407181502,False
30083,46992.38682256347,False
30588,46936.253231706134,False
31099,46968.035719506675,False
31245,47062.801043817366,False
31369,46801.727462562216,False
31379,47061.07051081993,False
31396,46933.14353394714,False
31581,47096.24306663861,False
31966,46837.04402470002,False
32377,46957.22204663788,False
32564,47000.415629415154,True
32636,46989.4761755507,False
32672,46986.15126274937,False
32760,46937.26455865028,False
32976,47004.978724139146,False
33091,46793.310917027906,False
33303,47027.980762010906,False
33789,46773.680334261044,False
34291,47104.83780270121,False
34822,46677.08940429002,False
35423,46785.52518650003,False
35536,46941.957130677365,False
35596,47035.713514173265,False
35601,47228.191818080384,False
35871,46781.23557061719,False
35919,47013.73574337459,False
36082,46998.97998282065,False
36500,47088.698678451234,True
37151,47127.12710072174,False
37152,46950.37804128768,False
37273,47112.088367248994,False
37287,46968.592436832,False
37589,46986.01196030089,False
38378,46660.82191857991,False
38485,46929.759230245734,False
38518,46988.53380888203,False
38608,47000.55557226896,False
