bs,nearest_catalogue_id,distance_to_rounded_catalogue_m,matches_a_catalogue_pair
1,FF0105FE,0.0,True
2,FF010877,0.0,True
4,FF010628,0.0,True
5,FF010721,0.0,True
6,FF0105B8,0.0,True
7,FF010639,0.0,True
9,FF01085B,0.0,True
10,FF01072B,0.0,True
11,FF010601,0.0,True
14,FF0107C9,0.0,True
15,FF01099B,0.0,True
17,FF010739,0.0,True
18,080E0116,0.0,True
19,FF010667,0.0,True
23,FF0105CB,0.0,True
25,FF010EE1,0.0,True
27,08060716,0.0,True
32,FF0108A3,0.0,True
33,FF01052A,0.0,True
34,FF010822,0.0,True
35,FF0108ED,0.0,True
37,FF0105BE,0.0,True
41,FF010714,0.0,True
50,FF010957,0.0,True
69,FF01753E,0.0,True
70,FF0107A2,0.0,True
71,FF01061C,0.0,True
12,08060622,0.0,True
20,FF010595,0.0,True
