bs,release_receptions,calibration_receptions,full_candidate_count,full_candidates,calibration_candidate_count,calibration_candidates,out_of_calibration_mismatches
1,11050,2781,1,FF010714,1,FF010714,0.0
2,25615,4657,1,FF01072B,1,FF01072B,0.0
3,3522,1065,1,FF010877,1,FF010877,0.0
4,11879,3191,1,080E0149,1,080E0149,0.0
5,14596,3548,1,FF010560,1,FF010560,0.0
6,6259,1725,1,FF010721,1,FF010721,0.0
7,7340,1597,1,080605EE,1,080605EE,0.0
8,0,0,0,,3,004A0D9C;FF01031C;FF010603,
9,23088,5024,1,FF01085B,1,FF01085B,0.0
10,36185,4027,1,080E00B9,1,080E00B9,0.0
11,13753,3572,1,FF01052A,1,FF01052A,0.0
12,9327,1631,1,08060622,1,08060622,0.0
13,0,0,0,,3,004A0D9C;FF01031C;FF010603,
14,32352,7013,1,FF0107C9,1,FF0107C9,0.0
15,3436,607,1,FF01099B,1,FF01099B,0.0
16,1307,361,1,FF010581,1,FF010581,0.0
17,7666,1505,1,FF010739,1,FF010739,0.0
18,17786,3219,1,FF0178DF,1,FF0178DF,0.0
19,7537,1708,1,FF010667,1,FF010667,0.0
20,13939,3120,1,FF010595,1,FF010595,0.0
21,0,0,0,,3,004A0D9C;FF01031C;FF010603,
22,6280,1749,1,FF010628,1,FF010628,0.0
23,1653,336,1,FF0105CB,1,FF0105CB,0.0
24,0,0,0,,3,004A0D9C;FF01031C;FF010603,
25,4887,1209,1,080E0116,1,080E0116,0.0
26,0,0,0,,3,004A0D9C;FF01031C;FF010603,
27,32812,5680,1,08060716,1,08060716,0.0
28,0,0,0,,3,004A0D9C;FF01031C;FF010603,
29,0,0,0,,3,004A0D9C;FF01031C;FF010603,
30,0,0,0,,3,004A0D9C;FF01031C;FF010603,
31,5368,1545,1,FF010EFE,1,FF010EFE,0.0
32,22642,5177,1,FF0108A3,1,FF0108A3,0.0
33,263,69,1,FF01060B,1,FF01060B,0.0
34,3155,922,1,FF010719,1,FF010719,0.0
35,419,66,1,004A05D4,1,004A05D4,0.0
36,0,0,0,,3,004A0D9C;FF01031C;FF010603,
37,1238,366,1,FF010639,1,FF010639,0.0
38,0,0,0,,3,004A0D9C;FF01031C;FF010603,
39,0,0,0,,3,004A0D9C;FF01031C;FF010603,
40,0,0,0,,3,004A0D9C;FF01031C;FF010603,
41,230,30,1,004A0DA4,1,004A0DA4,0.0
42,0,0,0,,3,004A0D9C;FF01031C;FF010603,
43,45,10,1,FF0107BB,1,FF0107BB,0.0
44,182,46,1,FF0105C2,1,FF0105C2,0.0
45,0,0,0,,3,004A0D9C;FF01031C;FF010603,
46,0,0,0,,3,004A0D9C;FF01031C;FF010603,
47,10,6,1,C0000209,1,C0000209,0.0
48,341,91,1,FF010605,1,FF010605,0.0
49,3,0,1,004A0D9C,3,004A0D9C;FF01031C;FF010603,
50,869,90,1,FF010957,1,FF010957,0.0
51,0,0,0,,3,004A0D9C;FF01031C;FF010603,
52,51,17,1,FF010894,1,FF010894,0.0
53,4,1,1,C000028C,1,C000028C,0.0
54,0,0,0,,3,004A0D9C;FF01031C;FF010603,
55,3,1,1,FF0105B5,1,FF0105B5,0.0
56,0,0,0,,3,004A0D9C;FF01031C;FF010603,
57,0,0,0,,3,004A0D9C;FF01031C;FF010603,
58,0,0,0,,3,004A0D9C;FF01031C;FF010603,
59,29,4,1,FF010930,1,FF010930,0.0
60,9,0,1,FF010603,3,004A0D9C;FF01031C;FF010603,
61,0,0,0,,3,004A0D9C;FF01031C;FF010603,
62,0,0,0,,3,004A0D9C;FF01031C;FF010603,
63,0,0,0,,3,004A0D9C;FF01031C;FF010603,
64,0,0,0,,3,004A0D9C;FF01031C;FF010603,
65,0,0,0,,3,004A0D9C;FF01031C;FF010603,
66,0,0,0,,3,004A0D9C;FF01031C;FF010603,
67,0,0,0,,3,004A0D9C;FF01031C;FF010603,
68,0,0,0,,3,004A0D9C;FF01031C;FF010603,
69,28529,6211,1,FF01753E,1,FF01753E,0.0
70,4080,945,1,FF017649,1,FF017649,0.0
71,509,58,1,004A026B,1,004A026B,0.0
72,1,0,1,FF01031C,3,004A0D9C;FF01031C;FF010603,
