bs,gateway_id,release_receptions,calibration_receptions,full_identity_candidates,identified_on_calibration_only,outside_calibration_mismatches,catalogue_present,catalogue_latitude,catalogue_longitude,catalogue_x_m,catalogue_y_m,in_R29,in_O33
1,FF010714,11050,2781,1,True,0.0,True,51.188213,4.450321,601353.8,5671754.9,True,True
2,FF01072B,25615,4657,1,True,0.0,True,51.195278,4.426771,599692.9,5672508.3,True,True
3,FF010877,3522,1065,1,True,0.0,True,51.17691,4.441903,600790.2,5670486.4,False,True
4,080E0149,11879,3191,1,True,0.0,True,51.250458,4.419384,599058.3,5678634.4,True,True
5,FF010560,14596,3548,1,True,0.0,True,51.245152,4.385107,596677.3,5677998.7,True,True
6,FF010721,6259,1725,1,True,0.0,True,51.263577,4.388527,596877.3,5680052.1,True,True
7,080605EE,7340,1597,1,True,0.0,True,51.218719,4.459902,601956.0,5675160.4,True,True
9,FF01085B,23088,5024,1,True,0.0,True,51.221184,4.423655,599419.4,5675384.8,True,True
10,080E00B9,36185,4027,1,True,0.0,True,51.195141,4.419717,599200.3,5672483.5,True,True
11,FF01052A,13753,3572,1,True,0.0,True,51.241821,4.449746,601196.1,5677715.3,True,True
12,08060622,9327,1631,1,True,0.0,True,51.217793,4.426748,599642.7,5675011.9,True,True
14,FF0107C9,32352,7013,1,True,0.0,True,51.219257,4.413227,598695.3,5675156.5,True,True
15,FF01099B,3436,607,1,True,0.0,True,51.206875,4.333922,593182.1,5673676.1,True,True
16,FF010581,1307,361,1,True,0.0,True,51.283428,4.384657,596565.6,5682254.4,False,True
17,FF010739,7666,1505,1,True,0.0,True,51.203987,4.440966,600665.7,5673496.1,True,True
18,FF0178DF,17786,3219,1,True,0.0,True,51.2019,4.395436,597489.6,5673202.6,True,True
19,FF010667,7537,1708,1,True,0.0,True,51.218185,4.370775,595733.0,5674981.1,True,True
20,FF010595,13939,3120,1,True,0.0,True,51.223225,4.407838,598310.5,5675590.5,True,True
22,FF010628,6280,1749,1,True,0.0,True,51.264114,4.406816,598152.1,5680136.1,False,True
23,FF0105CB,1653,336,1,True,0.0,True,51.194866,4.33333,593165.0,5672339.9,True,True
25,080E0116,4887,1209,1,True,0.0,True,51.194767,4.380632,596470.2,5672389.9,True,True
27,08060716,32812,5680,1,True,0.0,True,51.205795,4.398465,597692.9,5673639.8,True,True
31,FF010EFE,5368,1545,1,True,0.0,True,51.223267,4.478827,603267.4,5675692.6,False,True
32,FF0108A3,22642,5177,1,True,0.0,True,51.218227,4.40096,597840.9,5675025.6,True,True
33,FF01060B,263,69,1,True,0.0,True,51.273636,4.32128,592165.5,5681084.1,True,True
34,FF010719,3155,922,1,True,0.0,True,51.248268,4.32423,592422.1,5678266.8,True,True
35,004A05D4,419,66,1,True,0.0,False,,,,,True,False
37,FF010639,1238,366,1,True,0.0,True,51.241581,4.490818,604063.4,5677746.0,True,True
41,004A0DA4,230,30,1,True,0.0,False,,,,,True,False
44,FF0105C2,182,46,1,True,0.0,True,51.322235,4.315572,591670.5,5686481.3,False,True
48,FF010605,341,91,1,True,0.0,True,51.199253,4.498773,604714.7,5673050.4,False,True
50,FF010957,869,90,1,True,0.0,True,51.213299,4.333237,593121.3,5674389.6,True,True
69,FF01753E,28529,6211,1,True,0.0,True,51.197487,4.406706,598286.3,5672726.9,True,True
70,FF017649,4080,945,1,True,0.0,True,51.202755,4.467505,602522.4,5673395.8,True,True
71,004A026B,509,58,1,True,0.0,True,50.844898,4.132583,579736.5,5633188.3,True,True
