substrate,contrast,method,n3p5,n4p7,n6p0,signs,stable
recovered29,dense_minus_sparse,WCL,841.8267267654489,845.1499255527942,856.8192163425666,"1,1,1",True
recovered29,dense_minus_sparse,ABS,405.84758570975606,369.22018675462067,347.30200930954976,"1,1,1",True
recovered29,dense_minus_sparse,DIFF,282.84752744704576,243.65918065678483,233.55581780334325,"1,1,1",True
recovered29,dense_minus_sparse,Min-Max,610.0790368606698,582.7596650342101,541.9063818920108,"1,1,1",True
recovered29,top7_minus_top6,WCL,194.97037519038804,183.85519091175786,190.73370825805824,"1,1,1",True
recovered29,top7_minus_top6,ABS,34.519840154796135,26.840394836383425,16.721627100086774,"1,1,1",True
recovered29,top7_minus_top6,DIFF,44.153598085360485,35.414747501597134,27.35463389117656,"1,1,1",True
recovered29,top7_minus_top6,Min-Max,163.684899974874,145.3560282072507,136.8311340425806,"1,1,1",True
recovered29,legacy_rotation_minus_iso,WCL,27.425900093211858,29.908297973329493,25.81136752955512,"1,1,1",True
recovered29,legacy_rotation_minus_iso,ABS,23.17197670949006,22.277361334897364,24.50762664520357,"1,1,1",True
recovered29,legacy_rotation_minus_iso,DIFF,-6.087302811461592,-13.004278418322494,-10.290867281884033,"-1,-1,-1",True
recovered29,legacy_rotation_minus_iso,Min-Max,18.490617380605826,25.463475357387196,27.976121648842526,"1,1,1",True
official32_minus71,dense_minus_sparse,WCL,944.0454241705652,894.8268654616157,877.0057996133376,"1,1,1",True
official32_minus71,dense_minus_sparse,ABS,473.3229906862191,399.4701075453101,352.8599836455399,"1,1,1",True
official32_minus71,dense_minus_sparse,DIFF,263.14236617086544,191.68744948602708,156.53650594181624,"1,1,1",True
official32_minus71,dense_minus_sparse,Min-Max,635.0620972067364,575.4291430007094,523.5123607611459,"1,1,1",True
official32_minus71,top7_minus_top6,WCL,109.32319645446677,111.27972784018833,118.73963973401325,"1,1,1",True
official32_minus71,top7_minus_top6,ABS,62.345084180406886,53.34449484580622,47.41832592145337,"1,1,1",True
official32_minus71,top7_minus_top6,DIFF,47.90884650195265,36.90333377588649,31.033971003994203,"1,1,1",True
official32_minus71,top7_minus_top6,Min-Max,96.95439398996135,93.2872006352692,92.63666595868712,"1,1,1",True
official32_minus71,legacy_rotation_minus_iso,WCL,-1.60641892600594,-3.929804218491281,-7.506812270549686,"-1,-1,-1",True
official32_minus71,legacy_rotation_minus_iso,ABS,-8.764015921774176,-8.661547471635027,-8.144202912293078,"-1,-1,-1",True
official32_minus71,legacy_rotation_minus_iso,DIFF,-10.489064243483165,-13.547475841698041,-14.959249008429797,"-1,-1,-1",True
official32_minus71,legacy_rotation_minus_iso,Min-Max,0.9303923206808884,-0.2122195819097623,-0.5360948473255931,"1,-1,-1",False
