estimand,point,ci_lo,ci_hi,clusters,messages,bootstrap_reps,seed,substrate,cluster_type,cluster_width,unit
WCL,1411.923191939374,-27.133253401318818,2417.5722742955622,106,2498,2000,960500,recovered29,spatial,500,m
ABS,171.45075021293087,-42.039001413994455,421.50950151465753,106,2498,2000,960500,recovered29,spatial,500,m
DIFF,351.8778120926495,-45.437535540108875,741.5843013992284,106,2498,2000,960500,recovered29,spatial,500,m
Min-Max,774.4935137635118,7.470068673548793,1757.4818511300439,106,2498,2000,960500,recovered29,spatial,500,m
newly_exhausted_pp,14.211369095276222,0.0,31.143695014662757,106,2498,2000,960500,recovered29,spatial,500,percentage points
WCL,1411.923191939374,-24.746915493831416,2486.1773148143893,39,2498,2000,961000,recovered29,spatial,1000,m
ABS,171.45075021293087,-38.25434528619527,463.1876242688528,39,2498,2000,961000,recovered29,spatial,1000,m
DIFF,351.8778120926495,-51.850934068020926,798.6478193239998,39,2498,2000,961000,recovered29,spatial,1000,m
Min-Max,774.4935137635118,-10.279492042568101,1832.352862528659,39,2498,2000,961000,recovered29,spatial,1000,m
newly_exhausted_pp,14.211369095276222,0.0,33.76288880812469,39,2498,2000,961000,recovered29,spatial,1000,percentage points
WCL,1411.923191939374,-42.43820922177587,2421.428069098921,12,2498,2000,962000,recovered29,spatial,2000,m
ABS,171.45075021293087,-51.276202913331076,465.5231814522102,12,2498,2000,962000,recovered29,spatial,2000,m
DIFF,351.8778120926495,-69.90948510388866,837.0520226045791,12,2498,2000,962000,recovered29,spatial,2000,m
Min-Max,774.4935137635118,2.2005551817391,1804.8552974431595,12,2498,2000,962000,recovered29,spatial,2000,m
newly_exhausted_pp,14.211369095276222,0.0,33.84229207618429,12,2498,2000,962000,recovered29,spatial,2000,percentage points
WCL,687.0083689752021,-4.2070217963044225,1951.3900660510815,106,2498,2000,970500,official32_minus71,spatial,500,m
ABS,276.7374821905921,-22.290953383637795,700.4148324492135,106,2498,2000,970500,official32_minus71,spatial,500,m
DIFF,399.15171885075677,2.837467460079853,1110.1160398380698,106,2498,2000,970500,official32_minus71,spatial,500,m
Min-Max,461.2174895257481,-0.9926886091861716,1384.8310799380124,106,2498,2000,970500,official32_minus71,spatial,500,m
newly_exhausted_pp,13.090472377902321,0.0,29.355542459723946,106,2498,2000,970500,official32_minus71,spatial,500,percentage points
WCL,687.0083689752021,-5.458878675278475,1971.7414344463962,41,2498,2000,971000,official32_minus71,spatial,1000,m
ABS,276.7374821905921,-20.65346592337046,733.6895778222212,41,2498,2000,971000,official32_minus71,spatial,1000,m
DIFF,399.15171885075677,3.666843564705812,1189.7555120795898,41,2498,2000,971000,official32_minus71,spatial,1000,m
Min-Max,461.2174895257481,-4.97746047299799,1466.5741801458519,41,2498,2000,971000,official32_minus71,spatial,1000,m
newly_exhausted_pp,13.090472377902321,0.0,30.88711842672371,41,2498,2000,971000,official32_minus71,spatial,1000,percentage points
WCL,687.0083689752021,-9.65871070868251,1985.4791495007469,14,2498,2000,972000,official32_minus71,spatial,2000,m
ABS,276.7374821905921,-28.971606154421742,745.5570583433257,14,2498,2000,972000,official32_minus71,spatial,2000,m
DIFF,399.15171885075677,-3.6716986759456858,1215.5120157777094,14,2498,2000,972000,official32_minus71,spatial,2000,m
Min-Max,461.2174895257481,1.2938877718890243,1513.8639732231052,14,2498,2000,972000,official32_minus71,spatial,2000,m
newly_exhausted_pp,13.090472377902321,0.0,31.91307679897595,14,2498,2000,972000,official32_minus71,spatial,2000,percentage points
