estimand,point,ci_lo,ci_hi,clusters,messages,bootstrap_reps,seed,substrate,cluster_type,cluster_width,unit
WCL,1411.923191939374,1207.9946370859973,1572.0515613440343,1786,2498,2000,970005,recovered29,temporal,5,m
ABS,171.45075021293087,140.51250427277708,206.38453845039885,1786,2498,2000,970005,recovered29,temporal,5,m
DIFF,351.8778120926495,302.6715108896704,412.2640383234594,1786,2498,2000,970005,recovered29,temporal,5,m
Min-Max,774.4935137635118,694.3210569544979,876.2495869298535,1786,2498,2000,970005,recovered29,temporal,5,m
newly_exhausted_pp,14.211369095276222,12.690680842543259,15.628895541528571,1786,2498,2000,970005,recovered29,temporal,5,percentage points
WCL,1411.923191939374,1185.8479798046844,1592.2536382295568,1077,2498,2000,970015,recovered29,temporal,15,m
ABS,171.45075021293087,138.36761780197867,209.02326490268325,1077,2498,2000,970015,recovered29,temporal,15,m
DIFF,351.8778120926495,298.65848537492667,412.3327733686243,1077,2498,2000,970015,recovered29,temporal,15,m
Min-Max,774.4935137635118,683.7644363882986,890.7172719673441,1077,2498,2000,970015,recovered29,temporal,15,m
newly_exhausted_pp,14.211369095276222,12.71991907514451,15.74306000033804,1077,2498,2000,970015,recovered29,temporal,15,percentage points
WCL,1411.923191939374,1167.6757241736861,1590.2236886935802,709,2498,2000,970030,recovered29,temporal,30,m
ABS,171.45075021293087,139.8430256512934,208.87980709735984,709,2498,2000,970030,recovered29,temporal,30,m
DIFF,351.8778120926495,295.4354988430907,416.7296353877018,709,2498,2000,970030,recovered29,temporal,30,m
Min-Max,774.4935137635118,679.6370786102219,898.778235897755,709,2498,2000,970030,recovered29,temporal,30,m
newly_exhausted_pp,14.211369095276222,12.556293072717132,15.928291768112125,709,2498,2000,970030,recovered29,temporal,30,percentage points
WCL,687.0083689752021,610.293000927188,807.4402471268826,1718,2498,2000,980005,official32_minus71,temporal,5,m
ABS,276.7374821905921,238.08462542657847,312.4800137117661,1718,2498,2000,980005,official32_minus71,temporal,5,m
DIFF,399.15171885075677,346.50104500265456,444.9858739260799,1718,2498,2000,980005,official32_minus71,temporal,5,m
Min-Max,461.2174895257481,406.57665319315237,531.6930185510802,1718,2498,2000,980005,official32_minus71,temporal,5,m
newly_exhausted_pp,13.090472377902321,11.748216993239177,14.62342117818401,1718,2498,2000,980005,official32_minus71,temporal,5,percentage points
WCL,687.0083689752021,597.7301493656864,821.1804881613477,1076,2498,2000,980015,official32_minus71,temporal,15,m
ABS,276.7374821905921,235.00080146264148,312.23226030753705,1076,2498,2000,980015,official32_minus71,temporal,15,m
DIFF,399.15171885075677,340.40221832604465,449.40750077367744,1076,2498,2000,980015,official32_minus71,temporal,15,m
Min-Max,461.2174895257481,397.91110723266877,542.4689814479312,1076,2498,2000,980015,official32_minus71,temporal,15,m
newly_exhausted_pp,13.090472377902321,11.639895353230072,14.738298583745312,1076,2498,2000,980015,official32_minus71,temporal,15,percentage points
WCL,687.0083689752021,590.7508069475882,832.5423182037791,699,2498,2000,980030,official32_minus71,temporal,30,m
ABS,276.7374821905921,231.85208167085946,318.58811514581646,699,2498,2000,980030,official32_minus71,temporal,30,m
DIFF,399.15171885075677,338.6294483414699,453.19362189814086,699,2498,2000,980030,official32_minus71,temporal,30,m
Min-Max,461.2174895257481,396.3939819487634,546.3253425103771,699,2498,2000,980030,official32_minus71,temporal,30,m
newly_exhausted_pp,13.090472377902321,11.479492936259224,14.889272572314553,699,2498,2000,980030,official32_minus71,temporal,30,percentage points
