eval_messages=2498 calibration_messages=16612 roster=29 max_gws=5
pair,spearman,top7_overlap,top7_jaccard
evaluation vs calibration,0.9970,7/7,1.0000
evaluation vs cal_half_A,0.9946,7/7,1.0000
evaluation vs cal_half_B,0.9966,7/7,1.0000
calibration vs cal_half_A,0.9975,7/7,1.0000
calibration vs cal_half_B,0.9995,7/7,1.0000
cal_half_A vs cal_half_B,0.9970,7/7,1.0000

ranking_source,k,C_eval_pct,top_ids
evaluation,1,0.0000,14
evaluation,2,0.0000,14;69
evaluation,3,0.0000,14;69;2
evaluation,4,0.2402,14;69;2;9
evaluation,5,1.0809,14;69;2;9;27
evaluation,6,5.7246,14;69;2;9;27;32
evaluation,7,19.9359,14;69;2;9;27;32;10
evaluation,8,20.4964,14;69;2;9;27;32;10;5
evaluation,9,23.5388,14;69;2;9;27;32;10;5;11
evaluation,10,32.6261,14;69;2;9;27;32;10;5;11;18
evaluation,11,39.7918,14;69;2;9;27;32;10;5;11;18;20
evaluation,12,50.1201,14;69;2;9;27;32;10;5;11;18;20;1
evaluation,13,55.4444,14;69;2;9;27;32;10;5;11;18;20;1;4
evaluation,14,62.6501,14;69;2;9;27;32;10;5;11;18;20;1;4;6
calibration,1,0.0000,14
calibration,2,0.0000,14;69
calibration,3,0.1201,14;69;9
calibration,4,0.2402,14;69;9;2
calibration,5,1.0809,14;69;9;2;27
calibration,6,5.7246,14;69;9;2;27;32
calibration,7,19.9359,14;69;9;2;27;32;10
calibration,8,20.4964,14;69;9;2;27;32;10;5
calibration,9,23.5388,14;69;9;2;27;32;10;5;11
calibration,10,32.6261,14;69;9;2;27;32;10;5;11;18
calibration,11,39.7918,14;69;9;2;27;32;10;5;11;18;20
calibration,12,50.1201,14;69;9;2;27;32;10;5;11;18;20;1
calibration,13,55.4444,14;69;9;2;27;32;10;5;11;18;20;1;4
calibration,14,62.6501,14;69;9;2;27;32;10;5;11;18;20;1;4;6
cal_half_A,1,0.0000,14
cal_half_A,2,0.0000,14;69
cal_half_A,3,0.1201,14;69;9
cal_half_A,4,0.8807,14;69;9;32
cal_half_A,5,5.1641,14;69;9;32;27
cal_half_A,6,5.7246,14;69;9;32;27;2
cal_half_A,7,19.9359,14;69;9;32;27;2;10
cal_half_A,8,20.4964,14;69;9;32;27;2;10;5
cal_half_A,9,23.5388,14;69;9;32;27;2;10;5;11
cal_half_A,10,32.6261,14;69;9;32;27;2;10;5;11;18
cal_half_A,11,39.7918,14;69;9;32;27;2;10;5;11;18;20
cal_half_A,12,50.1201,14;69;9;32;27;2;10;5;11;18;20;1
cal_half_A,13,55.4444,14;69;9;32;27;2;10;5;11;18;20;1;4
cal_half_A,14,62.6501,14;69;9;32;27;2;10;5;11;18;20;1;4;6
cal_half_B,1,0.0000,14
cal_half_B,2,0.0000,14;69
cal_half_B,3,0.1201,14;69;9
cal_half_B,4,0.2402,14;69;9;2
cal_half_B,5,1.0809,14;69;9;2;27
cal_half_B,6,5.7246,14;69;9;2;27;32
cal_half_B,7,19.9359,14;69;9;2;27;32;10
cal_half_B,8,20.4964,14;69;9;2;27;32;10;5
cal_half_B,9,23.5388,14;69;9;2;27;32;10;5;11
cal_half_B,10,32.6261,14;69;9;2;27;32;10;5;11;18
cal_half_B,11,39.7918,14;69;9;2;27;32;10;5;11;18;20
cal_half_B,12,50.1201,14;69;9;2;27;32;10;5;11;18;20;1
cal_half_B,13,55.4444,14;69;9;2;27;32;10;5;11;18;20;1;4
cal_half_B,14,62.6501,14;69;9;2;27;32;10;5;11;18;20;1;4;6
