transform,parameter,displacement_m,method,median_m,effect_pct,matched_WCL_pct,comparison_draws,source_file,source_line,matched_WCL_lo_m,matched_WCL_hi_m,matched_source_line
rot,0.5,43.0,WCL,619.0,3.6,0.3,4,results/base_logs/diffrepair_e5_affine.txt,114,575.0,606.0,115
rot,0.5,43.0,ABS,662.0,3.2,0.3,4,results/base_logs/diffrepair_e5_affine.txt,114,575.0,606.0,115
rot,0.5,43.0,DIFF,982.0,1.8,0.3,4,results/base_logs/diffrepair_e5_affine.txt,114,575.0,606.0,115
rot,0.5,43.0,Min-Max,481.0,3.2,0.3,4,results/base_logs/diffrepair_e5_affine.txt,114,575.0,606.0,115
rot,1.0,86.0,WCL,648.0,8.3,3.8,4,results/base_logs/diffrepair_e5_affine.txt,116,600.0,649.0,117
rot,1.0,86.0,ABS,678.0,5.8,3.8,4,results/base_logs/diffrepair_e5_affine.txt,116,600.0,649.0,117
rot,1.0,86.0,DIFF,1003.0,4.0,3.8,4,results/base_logs/diffrepair_e5_affine.txt,116,600.0,649.0,117
rot,1.0,86.0,Min-Max,491.0,5.4,3.8,4,results/base_logs/diffrepair_e5_affine.txt,116,600.0,649.0,117
rot,2.0,172.0,WCL,695.0,16.2,6.0,4,results/base_logs/diffrepair_e5_affine.txt,118,552.0,683.0,119
rot,2.0,172.0,ABS,719.0,12.2,6.0,4,results/base_logs/diffrepair_e5_affine.txt,118,552.0,683.0,119
rot,2.0,172.0,DIFF,1069.0,10.9,6.0,4,results/base_logs/diffrepair_e5_affine.txt,118,552.0,683.0,119
rot,2.0,172.0,Min-Max,523.0,12.3,6.0,4,results/base_logs/diffrepair_e5_affine.txt,118,552.0,683.0,119
rot,5.0,429.0,WCL,895.0,49.8,22.7,4,results/base_logs/diffrepair_e5_affine.txt,120,570.0,896.0,121
rot,5.0,429.0,ABS,812.0,26.6,22.7,4,results/base_logs/diffrepair_e5_affine.txt,120,570.0,896.0,121
rot,5.0,429.0,DIFF,1078.0,11.8,22.7,4,results/base_logs/diffrepair_e5_affine.txt,120,570.0,896.0,121
rot,5.0,429.0,Min-Max,623.0,33.7,22.7,4,results/base_logs/diffrepair_e5_affine.txt,120,570.0,896.0,121
scale,0.98,98.0,WCL,608.0,1.7,1.6,4,results/base_logs/diffrepair_e5_affine.txt,122,589.0,645.0,123
scale,0.98,98.0,ABS,637.0,-0.6,1.6,4,results/base_logs/diffrepair_e5_affine.txt,122,589.0,645.0,123
scale,0.98,98.0,DIFF,981.0,1.8,1.6,4,results/base_logs/diffrepair_e5_affine.txt,122,589.0,645.0,123
scale,0.98,98.0,Min-Max,461.0,-1.1,1.6,4,results/base_logs/diffrepair_e5_affine.txt,122,589.0,645.0,123
scale,0.99,49.0,WCL,601.0,0.5,0.4,4,results/base_logs/diffrepair_e5_affine.txt,124,577.0,615.0,125
scale,0.99,49.0,ABS,642.0,0.1,0.4,4,results/base_logs/diffrepair_e5_affine.txt,124,577.0,615.0,125
scale,0.99,49.0,DIFF,965.0,0.1,0.4,4,results/base_logs/diffrepair_e5_affine.txt,124,577.0,615.0,125
scale,0.99,49.0,Min-Max,463.0,-0.7,0.4,4,results/base_logs/diffrepair_e5_affine.txt,124,577.0,615.0,125
scale,1.01,49.0,WCL,593.0,-0.8,-0.4,4,results/base_logs/diffrepair_e5_affine.txt,126,588.0,608.0,127
scale,1.01,49.0,ABS,652.0,1.7,-0.4,4,results/base_logs/diffrepair_e5_affine.txt,126,588.0,608.0,127
scale,1.01,49.0,DIFF,942.0,-2.3,-0.4,4,results/base_logs/diffrepair_e5_affine.txt,126,588.0,608.0,127
scale,1.01,49.0,Min-Max,468.0,0.5,-0.4,4,results/base_logs/diffrepair_e5_affine.txt,126,588.0,608.0,127
scale,1.02,98.0,WCL,602.0,0.7,2.6,4,results/base_logs/diffrepair_e5_affine.txt,128,557.0,636.0,129
scale,1.02,98.0,ABS,649.0,1.3,2.6,4,results/base_logs/diffrepair_e5_affine.txt,128,557.0,636.0,129
scale,1.02,98.0,DIFF,938.0,-2.7,2.6,4,results/base_logs/diffrepair_e5_affine.txt,128,557.0,636.0,129
scale,1.02,98.0,Min-Max,479.0,2.9,2.6,4,results/base_logs/diffrepair_e5_affine.txt,128,557.0,636.0,129
