D_m,angle_deg,method,median_m,effect_pct,source_file,source_line
250,0,WCL,738.0,23.6,results/base_logs/diffrepair_e3b_angles.txt,139
250,0,ABS,726.0,13.3,results/base_logs/diffrepair_e3b_angles.txt,139
250,0,DIFF,1134.0,17.6,results/base_logs/diffrepair_e3b_angles.txt,139
250,0,Min-Max,542.0,16.3,results/base_logs/diffrepair_e3b_angles.txt,139
250,30,WCL,680.0,13.8,results/base_logs/diffrepair_e3b_angles.txt,140
250,30,ABS,700.0,9.3,results/base_logs/diffrepair_e3b_angles.txt,140
250,30,DIFF,1135.0,17.7,results/base_logs/diffrepair_e3b_angles.txt,140
250,30,Min-Max,508.0,9.0,results/base_logs/diffrepair_e3b_angles.txt,140
250,60,WCL,630.0,5.4,results/base_logs/diffrepair_e3b_angles.txt,141
250,60,ABS,638.0,-0.4,results/base_logs/diffrepair_e3b_angles.txt,141
250,60,DIFF,1128.0,17.0,results/base_logs/diffrepair_e3b_angles.txt,141
250,60,Min-Max,497.0,6.7,results/base_logs/diffrepair_e3b_angles.txt,141
250,90,WCL,616.0,3.1,results/base_logs/diffrepair_e3b_angles.txt,142
250,90,ABS,627.0,-2.2,results/base_logs/diffrepair_e3b_angles.txt,142
250,90,DIFF,1080.0,12.0,results/base_logs/diffrepair_e3b_angles.txt,142
250,90,Min-Max,465.0,-0.3,results/base_logs/diffrepair_e3b_angles.txt,142
250,120,WCL,561.0,-6.1,results/base_logs/diffrepair_e3b_angles.txt,143
250,120,ABS,597.0,-6.8,results/base_logs/diffrepair_e3b_angles.txt,143
250,120,DIFF,990.0,2.7,results/base_logs/diffrepair_e3b_angles.txt,143
250,120,Min-Max,445.0,-4.5,results/base_logs/diffrepair_e3b_angles.txt,143
250,150,WCL,539.0,-9.7,results/base_logs/diffrepair_e3b_angles.txt,144
250,150,ABS,562.0,-12.3,results/base_logs/diffrepair_e3b_angles.txt,144
250,150,DIFF,886.0,-8.1,results/base_logs/diffrepair_e3b_angles.txt,144
250,150,Min-Max,438.0,-5.9,results/base_logs/diffrepair_e3b_angles.txt,144
250,180,WCL,558.0,-6.7,results/base_logs/diffrepair_e3b_angles.txt,145
250,180,ABS,575.0,-10.4,results/base_logs/diffrepair_e3b_angles.txt,145
250,180,DIFF,868.0,-9.9,results/base_logs/diffrepair_e3b_angles.txt,145
250,180,Min-Max,457.0,-1.9,results/base_logs/diffrepair_e3b_angles.txt,145
250,210,WCL,606.0,1.4,results/base_logs/diffrepair_e3b_angles.txt,146
250,210,ABS,657.0,2.4,results/base_logs/diffrepair_e3b_angles.txt,146
250,210,DIFF,925.0,-4.0,results/base_logs/diffrepair_e3b_angles.txt,146
250,210,Min-Max,482.0,3.4,results/base_logs/diffrepair_e3b_angles.txt,146
250,240,WCL,673.0,12.6,results/base_logs/diffrepair_e3b_angles.txt,147
250,240,ABS,715.0,11.5,results/base_logs/diffrepair_e3b_angles.txt,147
250,240,DIFF,980.0,1.7,results/base_logs/diffrepair_e3b_angles.txt,147
250,240,Min-Max,526.0,12.8,results/base_logs/diffrepair_e3b_angles.txt,147
250,270,WCL,720.0,20.4,results/base_logs/diffrepair_e3b_angles.txt,148
250,270,ABS,761.0,18.7,results/base_logs/diffrepair_e3b_angles.txt,148
250,270,DIFF,1052.0,9.1,results/base_logs/diffrepair_e3b_angles.txt,148
250,270,Min-Max,565.0,21.2,results/base_logs/diffrepair_e3b_angles.txt,148
250,300,WCL,748.0,25.2,results/base_logs/diffrepair_e3b_angles.txt,149
250,300,ABS,781.0,21.9,results/base_logs/diffrepair_e3b_angles.txt,149
250,300,DIFF,1086.0,12.7,results/base_logs/diffrepair_e3b_angles.txt,149
250,300,Min-Max,584.0,25.3,results/base_logs/diffrepair_e3b_angles.txt,149
250,330,WCL,778.0,30.2,results/base_logs/diffrepair_e3b_angles.txt,150
250,330,ABS,764.0,19.2,results/base_logs/diffrepair_e3b_angles.txt,150
250,330,DIFF,1099.0,14.0,results/base_logs/diffrepair_e3b_angles.txt,150
250,330,Min-Max,578.0,24.0,results/base_logs/diffrepair_e3b_angles.txt,150
500,0,WCL,898.0,50.2,results/base_logs/diffrepair_e3b_angles.txt,152
500,0,ABS,776.0,21.0,results/base_logs/diffrepair_e3b_angles.txt,152
500,0,DIFF,1106.0,14.8,results/base_logs/diffrepair_e3b_angles.txt,152
500,0,Min-Max,652.0,39.9,results/base_logs/diffrepair_e3b_angles.txt,152
500,30,WCL,716.0,19.7,results/base_logs/diffrepair_e3b_angles.txt,153
500,30,ABS,785.0,22.4,results/base_logs/diffrepair_e3b_angles.txt,153
500,30,DIFF,1273.0,32.1,results/base_logs/diffrepair_e3b_angles.txt,153
500,30,Min-Max,618.0,32.5,results/base_logs/diffrepair_e3b_angles.txt,153
500,60,WCL,722.0,20.8,results/base_logs/diffrepair_e3b_angles.txt,154
500,60,ABS,656.0,2.4,results/base_logs/diffrepair_e3b_angles.txt,154
500,60,DIFF,1394.0,44.6,results/base_logs/diffrepair_e3b_angles.txt,154
500,60,Min-Max,596.0,27.8,results/base_logs/diffrepair_e3b_angles.txt,154
500,90,WCL,742.0,24.1,results/base_logs/diffrepair_e3b_angles.txt,155
500,90,ABS,635.0,-0.9,results/base_logs/diffrepair_e3b_angles.txt,155
500,90,DIFF,1409.0,46.1,results/base_logs/diffrepair_e3b_angles.txt,155
500,90,Min-Max,566.0,21.5,results/base_logs/diffrepair_e3b_angles.txt,155
500,120,WCL,644.0,7.7,results/base_logs/diffrepair_e3b_angles.txt,156
500,120,ABS,655.0,2.1,results/base_logs/diffrepair_e3b_angles.txt,156
500,120,DIFF,1251.0,29.8,results/base_logs/diffrepair_e3b_angles.txt,156
500,120,Min-Max,542.0,16.3,results/base_logs/diffrepair_e3b_angles.txt,156
500,150,WCL,628.0,5.0,results/base_logs/diffrepair_e3b_angles.txt,157
500,150,ABS,629.0,-1.8,results/base_logs/diffrepair_e3b_angles.txt,157
500,150,DIFF,945.0,-1.9,results/base_logs/diffrepair_e3b_angles.txt,157
500,150,Min-Max,522.0,12.1,results/base_logs/diffrepair_e3b_angles.txt,157
500,180,WCL,661.0,10.5,results/base_logs/diffrepair_e3b_angles.txt,158
500,180,ABS,576.0,-10.1,results/base_logs/diffrepair_e3b_angles.txt,158
500,180,DIFF,911.0,-5.5,results/base_logs/diffrepair_e3b_angles.txt,158
500,180,Min-Max,535.0,14.8,results/base_logs/diffrepair_e3b_angles.txt,158
500,210,WCL,721.0,20.7,results/base_logs/diffrepair_e3b_angles.txt,159
500,210,ABS,703.0,9.7,results/base_logs/diffrepair_e3b_angles.txt,159
500,210,DIFF,966.0,0.2,results/base_logs/diffrepair_e3b_angles.txt,159
500,210,Min-Max,565.0,21.2,results/base_logs/diffrepair_e3b_angles.txt,159
500,240,WCL,828.0,38.6,results/base_logs/diffrepair_e3b_angles.txt,160
500,240,ABS,835.0,30.3,results/base_logs/diffrepair_e3b_angles.txt,160
500,240,DIFF,1030.0,6.9,results/base_logs/diffrepair_e3b_angles.txt,160
