deployment,k,added_receiver,S_pct,exhausted_n,C_pct,delta_C_pct,top_k_ids,source_file
Antwerp-w10,1,14,9.61,0,0.0,0.0,14,paperb_coverage_all.txt
Antwerp-w10,2,69,18.66,0,0.0,0.0,"14,69",paperb_coverage_all.txt
Antwerp-w10,3,27,26.8,9,0.36,0.36,"14,69,27",paperb_coverage_all.txt
Antwerp-w10,4,32,33.98,105,4.2,3.84,"14,69,27,32",paperb_coverage_all.txt
Antwerp-w10,5,2,40.88,111,4.44,0.24,"14,69,27,32,2",paperb_coverage_all.txt
Antwerp-w10,6,9,47.68,140,5.6,1.16,"14,69,27,32,2,9",paperb_coverage_all.txt
Antwerp-w10,7,10,53.48,495,19.82,14.21,"14,69,27,32,2,9,10",paperb_coverage_all.txt
Antwerp-w10,8,11,58.6,546,21.86,2.04,"14,69,27,32,2,9,10,11",paperb_coverage_all.txt
Antwerp-w10,9,5,63.55,565,22.62,0.76,"14,69,27,32,2,9,10,11,5",paperb_coverage_all.txt
Antwerp-w10,10,18,68.18,782,31.31,8.69,"14,69,27,32,2,9,10,11,5,18",paperb_coverage_all.txt
Antwerp-w10,11,4,72.63,850,34.03,2.72,"14,69,27,32,2,9,10,11,5,18,4",paperb_coverage_all.txt
Antwerp-w10,12,20,76.93,1055,42.23,8.21,"14,69,27,32,2,9,10,11,5,18,4,20",paperb_coverage_all.txt
Antwerp-w10,13,1,81.16,1314,52.6,10.37,"14,69,27,32,2,9,10,11,5,18,4,20,1",paperb_coverage_all.txt
Antwerp-w10,14,6,83.94,1437,57.53,4.92,"14,69,27,32,2,9,10,11,5,18,4,20,1,6",paperb_coverage_all.txt
Antwerp-w5,1,14,10.62,0,0.0,0.0,14,paperb_coverage_all.txt
Antwerp-w5,2,69,20.42,0,0.0,0.0,"14,69",paperb_coverage_all.txt
Antwerp-w5,3,2,27.9,0,0.0,0.0,"14,69,2",paperb_coverage_all.txt
Antwerp-w5,4,9,35.27,6,0.24,0.24,"14,69,2,9",paperb_coverage_all.txt
Antwerp-w5,5,27,42.57,27,1.08,0.84,"14,69,2,9,27",paperb_coverage_all.txt
Antwerp-w5,6,32,49.45,143,5.72,4.64,"14,69,2,9,27,32",paperb_coverage_all.txt
Antwerp-w5,7,10,55.82,498,19.94,14.21,"14,69,2,9,27,32,10",paperb_coverage_all.txt
Antwerp-w5,8,5,61.2,512,20.5,0.56,"14,69,2,9,27,32,10,5",paperb_coverage_all.txt
Antwerp-w5,9,11,66.34,588,23.54,3.04,"14,69,2,9,27,32,10,5,11",paperb_coverage_all.txt
Antwerp-w5,10,18,71.23,815,32.63,9.09,"14,69,2,9,27,32,10,5,11,18",paperb_coverage_all.txt
Antwerp-w5,11,20,75.46,994,39.79,7.17,"14,69,2,9,27,32,10,5,11,18,20",paperb_coverage_all.txt
Antwerp-w5,12,1,79.63,1252,50.12,10.33,"14,69,2,9,27,32,10,5,11,18,20,1",paperb_coverage_all.txt
Antwerp-w5,13,4,82.66,1385,55.44,5.32,"14,69,2,9,27,32,10,5,11,18,20,1,4",paperb_coverage_all.txt
Antwerp-w5,14,6,85.44,1565,62.65,7.21,"14,69,2,9,27,32,10,5,11,18,20,1,4,6",paperb_coverage_all.txt
Sigfox-urban,1,9,9.55,0,0.0,0.0,9,paperb_coverage_all.txt
Sigfox-urban,2,15,18.77,0,0.0,0.0,"9,15",paperb_coverage_all.txt
Sigfox-urban,3,16,26.9,0,0.0,0.0,"9,15,16",paperb_coverage_all.txt
Sigfox-urban,4,20,34.95,1,0.01,0.01,"9,15,16,20",paperb_coverage_all.txt
Sigfox-urban,5,7,42.41,4,0.03,0.02,"9,15,16,20,7",paperb_coverage_all.txt
Sigfox-urban,6,8,49.35,11,0.08,0.05,"9,15,16,20,7,8",paperb_coverage_all.txt
Sigfox-urban,7,3,56.12,17,0.13,0.05,"9,15,16,20,7,8,3",paperb_coverage_all.txt
Sigfox-urban,8,21,62.12,24,0.18,0.05,"9,15,16,20,7,8,3,21",paperb_coverage_all.txt
Sigfox-urban,9,2,67.8,62,0.47,0.29,"9,15,16,20,7,8,3,21,2",paperb_coverage_all.txt
Sigfox-urban,10,18,72.39,203,1.54,1.07,"9,15,16,20,7,8,3,21,2,18",paperb_coverage_all.txt
Sigfox-urban,11,13,76.9,684,5.2,3.65,"9,15,16,20,7,8,3,21,2,18,13",paperb_coverage_all.txt
Sigfox-urban,12,22,80.08,1318,10.01,4.82,"9,15,16,20,7,8,3,21,2,18,13,22",paperb_coverage_all.txt
Sigfox-urban,13,24,83.16,1954,14.84,4.83,"9,15,16,20,7,8,3,21,2,18,13,22,24",paperb_coverage_all.txt
Sigfox-urban,14,6,86.09,2832,21.51,6.67,"9,15,16,20,7,8,3,21,2,18,13,22,24,6",paperb_coverage_all.txt
Sigfox-rural,1,12,7.34,0,0.0,0.0,12,paperb_coverage_all.txt
Sigfox-rural,2,13,14.18,0,0.0,0.0,"12,13",paperb_coverage_all.txt
Sigfox-rural,3,4,20.9,70,0.3,0.3,"12,13,4",paperb_coverage_all.txt
Sigfox-rural,4,6,27.36,79,0.34,0.04,"12,13,4,6",paperb_coverage_all.txt
Sigfox-rural,5,3,33.45,127,0.54,0.2,"12,13,4,6,3",paperb_coverage_all.txt
Sigfox-rural,6,7,39.28,179,0.76,0.22,"12,13,4,6,3,7",paperb_coverage_all.txt
Sigfox-rural,7,14,44.81,3001,12.79,12.03,"12,13,4,6,3,7,14",paperb_coverage_all.txt
Sigfox-rural,8,10,50.34,3172,13.52,0.73,"12,13,4,6,3,7,14,10",paperb_coverage_all.txt
Sigfox-rural,9,23,55.18,3509,14.95,1.44,"12,13,4,6,3,7,14,10,23",paperb_coverage_all.txt
Sigfox-rural,10,20,59.99,4210,17.94,2.99,"12,13,4,6,3,7,14,10,23,20",paperb_coverage_all.txt
Sigfox-rural,11,9,64.77,4288,18.27,0.33,"12,13,4,6,3,7,14,10,23,20,9",paperb_coverage_all.txt
Sigfox-rural,12,18,68.87,5322,22.68,4.41,"12,13,4,6,3,7,14,10,23,20,9,18",paperb_coverage_all.txt
Sigfox-rural,13,15,72.11,5732,24.43,1.75,"12,13,4,6,3,7,14,10,23,20,9,18,15",paperb_coverage_all.txt
Sigfox-rural,14,5,74.9,6750,28.76,4.34,"12,13,4,6,3,7,14,10,23,20,9,18,15,5",paperb_coverage_all.txt
