k,arm,selection_share,method,median_m,effect_pct,draws,source_file,source_line
1,top,0.096,WCL,619.0,3.6,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,114
1,top,0.096,ABS,652.0,1.8,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,114
1,top,0.096,DIFF,917.0,-4.8,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,114
1,top,0.096,Min-Max,546.0,17.2,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,114
1,bottom,0.0,WCL,598.0,0.0,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,116
1,bottom,0.0,ABS,641.0,0.0,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,116
1,bottom,0.0,DIFF,964.0,0.0,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,116
1,bottom,0.0,Min-Max,466.0,0.0,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,116
1,random,0.008,WCL,598.0,0.0,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,118
1,random,0.008,ABS,642.0,0.1,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,118
1,random,0.008,DIFF,962.0,-0.2,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,118
1,random,0.008,Min-Max,466.0,0.0,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,118
2,top,0.187,WCL,607.0,1.5,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,119
2,top,0.187,ABS,691.0,7.8,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,119
2,top,0.187,DIFF,910.0,-5.6,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,119
2,top,0.187,Min-Max,630.0,35.1,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,119
2,bottom,0.001,WCL,598.0,0.1,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,121
2,bottom,0.001,ABS,642.0,0.1,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,121
2,bottom,0.001,DIFF,965.0,0.1,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,121
2,bottom,0.001,Min-Max,467.0,0.1,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,121
2,random,0.084,WCL,616.0,3.0,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,123
2,random,0.084,ABS,664.0,3.7,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,123
2,random,0.084,DIFF,896.0,-7.1,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,123
2,random,0.084,Min-Max,520.0,11.6,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,123
3,top,0.268,WCL,761.0,27.4,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,124
3,top,0.268,ABS,727.0,13.4,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,124
3,top,0.268,DIFF,989.0,2.6,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,124
3,top,0.268,Min-Max,674.0,44.7,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,124
3,bottom,0.001,WCL,598.0,0.1,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,126
