D_m,f,fraction_pct_reported,fraction_pct_exact,method,median_m,effect_pct,draws,source_file,source_line
250,1,3,3.4482758620689653,WCL,598.0,0.0,8,results/base_logs/diffrepair_e1_d250.txt,76
250,1,3,3.4482758620689653,ABS,641.0,0.0,8,results/base_logs/diffrepair_e1_d250.txt,76
250,1,3,3.4482758620689653,DIFF,963.0,-0.1,8,results/base_logs/diffrepair_e1_d250.txt,76
250,1,3,3.4482758620689653,Min-Max,467.0,0.1,8,results/base_logs/diffrepair_e1_d250.txt,76
250,3,10,10.344827586206897,WCL,600.0,0.4,8,results/base_logs/diffrepair_e1_d250.txt,78
250,3,10,10.344827586206897,ABS,642.0,0.1,8,results/base_logs/diffrepair_e1_d250.txt,78
250,3,10,10.344827586206897,DIFF,978.0,1.5,8,results/base_logs/diffrepair_e1_d250.txt,78
250,3,10,10.344827586206897,Min-Max,467.0,0.3,8,results/base_logs/diffrepair_e1_d250.txt,78
250,7,24,24.137931034482758,WCL,595.0,-0.4,8,results/base_logs/diffrepair_e1_d250.txt,80
250,7,24,24.137931034482758,ABS,637.0,-0.6,8,results/base_logs/diffrepair_e1_d250.txt,80
250,7,24,24.137931034482758,DIFF,970.0,0.6,8,results/base_logs/diffrepair_e1_d250.txt,80
250,7,24,24.137931034482758,Min-Max,463.0,-0.7,8,results/base_logs/diffrepair_e1_d250.txt,80
250,14,48,48.275862068965516,WCL,603.0,0.8,8,results/base_logs/diffrepair_e1_d250.txt,82
250,14,48,48.275862068965516,ABS,638.0,-0.5,8,results/base_logs/diffrepair_e1_d250.txt,82
250,14,48,48.275862068965516,DIFF,988.0,2.5,8,results/base_logs/diffrepair_e1_d250.txt,82
250,14,48,48.275862068965516,Min-Max,472.0,1.3,8,results/base_logs/diffrepair_e1_d250.txt,82
250,21,72,72.41379310344827,WCL,658.0,10.1,8,results/base_logs/diffrepair_e1_d250.txt,84
250,21,72,72.41379310344827,ABS,646.0,0.8,8,results/base_logs/diffrepair_e1_d250.txt,84
250,21,72,72.41379310344827,DIFF,1123.0,16.5,8,results/base_logs/diffrepair_e1_d250.txt,84
250,21,72,72.41379310344827,Min-Max,474.0,1.7,8,results/base_logs/diffrepair_e1_d250.txt,84
250,29,100,100.0,WCL,615.0,2.8,8,results/base_logs/diffrepair_e1_d250.txt,86
250,29,100,100.0,ABS,644.0,0.5,8,results/base_logs/diffrepair_e1_d250.txt,86
250,29,100,100.0,DIFF,1021.0,5.9,8,results/base_logs/diffrepair_e1_d250.txt,86
250,29,100,100.0,Min-Max,473.0,1.6,8,results/base_logs/diffrepair_e1_d250.txt,86
500,1,3,3.4482758620689653,WCL,598.0,0.0,32,results/base_logs/diffrepair_e1_d500_dr32.txt,76
500,1,3,3.4482758620689653,ABS,641.0,0.0,32,results/base_logs/diffrepair_e1_d500_dr32.txt,76
500,1,3,3.4482758620689653,DIFF,964.0,0.0,32,results/base_logs/diffrepair_e1_d500_dr32.txt,76
500,1,3,3.4482758620689653,Min-Max,466.0,0.0,32,results/base_logs/diffrepair_e1_d500_dr32.txt,76
500,3,10,10.344827586206897,WCL,599.0,0.2,32,results/base_logs/diffrepair_e1_d500_dr32.txt,78
500,3,10,10.344827586206897,ABS,642.0,0.2,32,results/base_logs/diffrepair_e1_d500_dr32.txt,78
500,3,10,10.344827586206897,DIFF,977.0,1.3,32,results/base_logs/diffrepair_e1_d500_dr32.txt,78
500,3,10,10.344827586206897,Min-Max,472.0,1.3,32,results/base_logs/diffrepair_e1_d500_dr32.txt,78
500,7,24,24.137931034482758,WCL,598.0,0.1,32,results/base_logs/diffrepair_e1_d500_dr32.txt,80
500,7,24,24.137931034482758,ABS,649.0,1.2,32,results/base_logs/diffrepair_e1_d500_dr32.txt,80
500,7,24,24.137931034482758,DIFF,1004.0,4.1,32,results/base_logs/diffrepair_e1_d500_dr32.txt,80
500,7,24,24.137931034482758,Min-Max,474.0,1.7,32,results/base_logs/diffrepair_e1_d500_dr32.txt,80
500,14,48,48.275862068965516,WCL,666.0,11.4,32,results/base_logs/diffrepair_e1_d500_dr32.txt,82
500,14,48,48.275862068965516,ABS,670.0,4.5,32,results/base_logs/diffrepair_e1_d500_dr32.txt,82
500,14,48,48.275862068965516,DIFF,1060.0,9.9,32,results/base_logs/diffrepair_e1_d500_dr32.txt,82
500,14,48,48.275862068965516,Min-Max,514.0,10.4,32,results/base_logs/diffrepair_e1_d500_dr32.txt,82
