D_m,family,method,median_m,effect_pct,draws,source_file,source_line
250,iso,WCL,699.0,17.0,1,results/base_logs/diffrepair_e3b_angles.txt,114
250,iso,ABS,665.0,3.7,1,results/base_logs/diffrepair_e3b_angles.txt,114
250,iso,DIFF,1139.0,18.1,1,results/base_logs/diffrepair_e3b_angles.txt,114
250,iso,Min-Max,497.0,6.6,1,results/base_logs/diffrepair_e3b_angles.txt,114
250,coherent,WCL,543.0,-9.2,1,results/base_logs/diffrepair_e3b_angles.txt,115
250,coherent,ABS,589.0,-8.1,1,results/base_logs/diffrepair_e3b_angles.txt,115
250,coherent,DIFF,948.0,-1.7,1,results/base_logs/diffrepair_e3b_angles.txt,115
250,coherent,Min-Max,439.0,-5.8,1,results/base_logs/diffrepair_e3b_angles.txt,115
250,inward,WCL,630.0,5.5,1,results/base_logs/diffrepair_e3b_angles.txt,116
250,inward,ABS,751.0,17.1,1,results/base_logs/diffrepair_e3b_angles.txt,116
250,inward,DIFF,1080.0,12.0,1,results/base_logs/diffrepair_e3b_angles.txt,116
250,inward,Min-Max,485.0,4.1,1,results/base_logs/diffrepair_e3b_angles.txt,116
500,iso,WCL,906.0,51.6,1,results/base_logs/diffrepair_e3b_angles.txt,117
500,iso,ABS,764.0,19.2,1,results/base_logs/diffrepair_e3b_angles.txt,117
500,iso,DIFF,1177.0,22.1,1,results/base_logs/diffrepair_e3b_angles.txt,117
500,iso,Min-Max,605.0,29.8,1,results/base_logs/diffrepair_e3b_angles.txt,117
500,coherent,WCL,617.0,3.2,1,results/base_logs/diffrepair_e3b_angles.txt,118
500,coherent,ABS,641.0,0.0,1,results/base_logs/diffrepair_e3b_angles.txt,118
500,coherent,DIFF,1169.0,21.3,1,results/base_logs/diffrepair_e3b_angles.txt,118
500,coherent,Min-Max,538.0,15.4,1,results/base_logs/diffrepair_e3b_angles.txt,118
500,inward,WCL,731.0,22.4,1,results/base_logs/diffrepair_e3b_angles.txt,119
500,inward,ABS,830.0,29.5,1,results/base_logs/diffrepair_e3b_angles.txt,119
500,inward,DIFF,1340.0,39.1,1,results/base_logs/diffrepair_e3b_angles.txt,119
500,inward,Min-Max,560.0,20.2,1,results/base_logs/diffrepair_e3b_angles.txt,119
1000,iso,WCL,963.0,61.1,1,results/base_logs/diffrepair_e3b_angles.txt,120
1000,iso,ABS,892.0,39.2,1,results/base_logs/diffrepair_e3b_angles.txt,120
1000,iso,DIFF,1534.0,59.1,1,results/base_logs/diffrepair_e3b_angles.txt,120
1000,iso,Min-Max,648.0,39.0,1,results/base_logs/diffrepair_e3b_angles.txt,120
1000,coherent,WCL,884.0,47.8,1,results/base_logs/diffrepair_e3b_angles.txt,121
1000,coherent,ABS,924.0,44.1,1,results/base_logs/diffrepair_e3b_angles.txt,121
1000,coherent,DIFF,1534.0,59.1,1,results/base_logs/diffrepair_e3b_angles.txt,121
1000,coherent,Min-Max,791.0,69.7,1,results/base_logs/diffrepair_e3b_angles.txt,121
1000,inward,WCL,1011.0,69.2,1,results/base_logs/diffrepair_e3b_angles.txt,122
1000,inward,ABS,876.0,36.7,1,results/base_logs/diffrepair_e3b_angles.txt,122
1000,inward,DIFF,1475.0,53.1,1,results/base_logs/diffrepair_e3b_angles.txt,122
1000,inward,Min-Max,663.0,42.3,1,results/base_logs/diffrepair_e3b_angles.txt,122
2500,iso,WCL,1577.0,163.8,1,results/base_logs/diffrepair_e3b_angles.txt,123
2500,iso,ABS,1020.0,59.1,1,results/base_logs/diffrepair_e3b_angles.txt,123
2500,iso,DIFF,1250.0,29.6,1,results/base_logs/diffrepair_e3b_angles.txt,123
2500,iso,Min-Max,1087.0,133.3,1,results/base_logs/diffrepair_e3b_angles.txt,123
2500,coherent,WCL,1929.0,222.7,1,results/base_logs/diffrepair_e3b_angles.txt,124
2500,coherent,ABS,1375.0,114.5,1,results/base_logs/diffrepair_e3b_angles.txt,124
2500,coherent,DIFF,1661.0,72.3,1,results/base_logs/diffrepair_e3b_angles.txt,124
2500,coherent,Min-Max,1928.0,313.8,1,results/base_logs/diffrepair_e3b_angles.txt,124
2500,inward,WCL,1096.0,83.3,1,results/base_logs/diffrepair_e3b_angles.txt,125
2500,inward,ABS,1103.0,72.1,1,results/base_logs/diffrepair_e3b_angles.txt,125
2500,inward,DIFF,1264.0,31.1,1,results/base_logs/diffrepair_e3b_angles.txt,125
2500,inward,Min-Max,918.0,97.0,1,results/base_logs/diffrepair_e3b_angles.txt,125
5000,iso,WCL,3553.0,494.4,1,results/base_logs/diffrepair_e3b_angles.txt,126
5000,iso,ABS,1522.0,137.4,1,results/base_logs/diffrepair_e3b_angles.txt,126
5000,iso,DIFF,1745.0,81.0,1,results/base_logs/diffrepair_e3b_angles.txt,126
5000,iso,Min-Max,2228.0,378.1,1,results/base_logs/diffrepair_e3b_angles.txt,126
5000,coherent,WCL,4331.0,624.7,1,results/base_logs/diffrepair_e3b_angles.txt,127
5000,coherent,ABS,1567.0,144.5,1,results/base_logs/diffrepair_e3b_angles.txt,127
5000,coherent,DIFF,3275.0,239.7,1,results/base_logs/diffrepair_e3b_angles.txt,127
5000,coherent,Min-Max,4250.0,812.0,1,results/base_logs/diffrepair_e3b_angles.txt,127
5000,inward,WCL,2680.0,348.4,1,results/base_logs/diffrepair_e3b_angles.txt,128
5000,inward,ABS,1745.0,172.2,1,results/base_logs/diffrepair_e3b_angles.txt,128
5000,inward,DIFF,2083.0,116.1,1,results/base_logs/diffrepair_e3b_angles.txt,128
5000,inward,Min-Max,2606.0,459.2,1,results/base_logs/diffrepair_e3b_angles.txt,128
10000,iso,WCL,7730.0,1193.3,1,results/base_logs/diffrepair_e3b_angles.txt,129
10000,iso,ABS,3746.0,484.3,1,results/base_logs/diffrepair_e3b_angles.txt,129
10000,iso,DIFF,4295.0,345.6,1,results/base_logs/diffrepair_e3b_angles.txt,129
10000,iso,Min-Max,5679.0,1118.6,1,results/base_logs/diffrepair_e3b_angles.txt,129
10000,coherent,WCL,9557.0,1499.0,1,results/base_logs/diffrepair_e3b_angles.txt,130
10000,coherent,ABS,4676.0,629.4,1,results/base_logs/diffrepair_e3b_angles.txt,130
10000,coherent,DIFF,9162.0,850.4,1,results/base_logs/diffrepair_e3b_angles.txt,130
10000,coherent,Min-Max,9346.0,1905.5,1,results/base_logs/diffrepair_e3b_angles.txt,130
10000,inward,WCL,7284.0,1118.8,1,results/base_logs/diffrepair_e3b_angles.txt,131
10000,inward,ABS,3885.0,506.0,1,results/base_logs/diffrepair_e3b_angles.txt,131
10000,inward,DIFF,4800.0,398.0,1,results/base_logs/diffrepair_e3b_angles.txt,131
10000,inward,Min-Max,6022.0,1192.2,1,results/base_logs/diffrepair_e3b_angles.txt,131
250,outward,WCL,621.0,3.9,1,results/base_logs/diffrepair_e3b_angles.txt,180
250,outward,ABS,591.0,-7.8,1,results/base_logs/diffrepair_e3b_angles.txt,180
250,outward,DIFF,943.0,-2.2,1,results/base_logs/diffrepair_e3b_angles.txt,180
250,outward,Min-Max,488.0,4.8,1,results/base_logs/diffrepair_e3b_angles.txt,180
250,iso x8 med,WCL,641.0,7.2,8,results/base_logs/diffrepair_e3b_angles.txt,181
250,iso x8 med,ABS,638.0,-0.5,8,results/base_logs/diffrepair_e3b_angles.txt,181
250,iso x8 med,DIFF,960.0,-0.4,8,results/base_logs/diffrepair_e3b_angles.txt,181
250,iso x8 med,Min-Max,475.0,1.9,8,results/base_logs/diffrepair_e3b_angles.txt,181
500,outward,WCL,685.0,14.6,1,results/base_logs/diffrepair_e3b_angles.txt,182
500,outward,ABS,621.0,-3.1,1,results/base_logs/diffrepair_e3b_angles.txt,182
500,outward,DIFF,970.0,0.6,1,results/base_logs/diffrepair_e3b_angles.txt,182
500,outward,Min-Max,556.0,19.2,1,results/base_logs/diffrepair_e3b_angles.txt,182
500,iso x8 med,WCL,825.0,38.1,8,results/base_logs/diffrepair_e3b_angles.txt,183
500,iso x8 med,ABS,771.0,20.4,8,results/base_logs/diffrepair_e3b_angles.txt,183
500,iso x8 med,DIFF,1301.0,35.0,8,results/base_logs/diffrepair_e3b_angles.txt,183
500,iso x8 med,Min-Max,589.0,26.4,8,results/base_logs/diffrepair_e3b_angles.txt,183
1000,outward,WCL,913.0,52.8,1,results/base_logs/diffrepair_e3b_angles.txt,184
1000,outward,ABS,806.0,25.7,1,results/base_logs/diffrepair_e3b_angles.txt,184
1000,outward,DIFF,1172.0,21.6,1,results/base_logs/diffrepair_e3b_angles.txt,184
1000,outward,Min-Max,805.0,72.8,1,results/base_logs/diffrepair_e3b_angles.txt,184
1000,iso x8 med,WCL,872.0,45.9,8,results/base_logs/diffrepair_e3b_angles.txt,185
1000,iso x8 med,ABS,879.0,37.1,8,results/base_logs/diffrepair_e3b_angles.txt,185
