substrate,method,arm,draw,seed,baseline_m,median_error_m,change_pct,source_file,source_sha256
recovered29,WCL,exact_profile_random_directions,0,7750,597.6726773737064,628.8691099556595,5.219651786499005,rotation/opcenter_raw/recovered29__opcenter_exact_iso_7750.npz,6e3520e65eac4b28d16ed3ee98f19b49459120275d508003f66ff1af6e95e488
recovered29,ABS,exact_profile_random_directions,0,7750,641.0128583786435,641.0615891562517,0.007602152900868273,rotation/opcenter_raw/recovered29__opcenter_exact_iso_7750.npz,6e3520e65eac4b28d16ed3ee98f19b49459120275d508003f66ff1af6e95e488
recovered29,DIFF,exact_profile_random_directions,0,7750,963.9527294587203,1051.074151982647,9.037935145725157,rotation/opcenter_raw/recovered29__opcenter_exact_iso_7750.npz,6e3520e65eac4b28d16ed3ee98f19b49459120275d508003f66ff1af6e95e488
recovered29,Min-Max,exact_profile_random_directions,0,7750,466.00552668865595,472.7863386871235,1.4550926137401523,rotation/opcenter_raw/recovered29__opcenter_exact_iso_7750.npz,6e3520e65eac4b28d16ed3ee98f19b49459120275d508003f66ff1af6e95e488
recovered29,WCL,exact_profile_random_directions,1,7763,597.6726773737064,608.0458814913634,1.7355995196633274,rotation/opcenter_raw/recovered29__opcenter_exact_iso_7763.npz,9173483333c5ebb16b6419a88798b1cf6e5c15a9e1da0e227227d2d3facdb03e
recovered29,ABS,exact_profile_random_directions,1,7763,641.0128583786435,642.6904882778774,0.2617154831304417,rotation/opcenter_raw/recovered29__opcenter_exact_iso_7763.npz,9173483333c5ebb16b6419a88798b1cf6e5c15a9e1da0e227227d2d3facdb03e
recovered29,DIFF,exact_profile_random_directions,1,7763,963.9527294587203,893.3367526945985,-7.325668013178836,rotation/opcenter_raw/recovered29__opcenter_exact_iso_7763.npz,9173483333c5ebb16b6419a88798b1cf6e5c15a9e1da0e227227d2d3facdb03e
recovered29,Min-Max,exact_profile_random_directions,1,7763,466.00552668865595,463.86455012092034,-0.4594315829146849,rotation/opcenter_raw/recovered29__opcenter_exact_iso_7763.npz,9173483333c5ebb16b6419a88798b1cf6e5c15a9e1da0e227227d2d3facdb03e
recovered29,WCL,exact_profile_random_directions,2,7776,597.6726773737064,664.1897492748056,11.129347955705223,rotation/opcenter_raw/recovered29__opcenter_exact_iso_7776.npz,cf458ac3161514c3805d274b957a5dad63a02bc6cbe00cfdd71c9ce3023bcaf9
recovered29,ABS,exact_profile_random_directions,2,7776,641.0128583786435,671.2851211037355,4.722567157492229,rotation/opcenter_raw/recovered29__opcenter_exact_iso_7776.npz,cf458ac3161514c3805d274b957a5dad63a02bc6cbe00cfdd71c9ce3023bcaf9
