bin_center,field,expected,recovered,pass_at_printed_precision
0.1,WCL_med_pct,5.0,5.01935038116761,True
0.1,WCL_min_pct,0.6,0.585528479098538,True
0.1,WCL_max_pct,46.2,46.24184256310143,True
0.1,ABS_med_pct,4.8,4.760318081909393,True
0.1,DIFF_med_pct,-4.6,-4.566024219987256,True
0.1,MinMax_med_pct,15.2,15.2233137318295,True
0.2,WCL_med_pct,6.1,6.099867482680752,True
0.2,WCL_min_pct,0.6,0.5736877748144169,True
0.2,WCL_max_pct,47.1,47.0635251801156,True
0.2,ABS_med_pct,9.9,9.866299794143188,True
0.2,DIFF_med_pct,-2.7,-2.699197795735365,True
0.2,MinMax_med_pct,24.2,24.185300627483052,True
0.3,WCL_med_pct,26.6,26.614896102064428,True
0.3,WCL_min_pct,10.0,10.04895094308132,True
0.3,WCL_max_pct,105.2,105.16440084588223,True
0.3,ABS_med_pct,17.5,17.479841541037175,True
0.3,DIFF_med_pct,6.8,6.761389752981328,True
0.3,MinMax_med_pct,45.2,45.2109399944123,True
0.4,WCL_med_pct,41.7,41.72515868922714,True
0.4,WCL_min_pct,16.6,16.634617671286478,True
0.4,WCL_max_pct,111.0,110.98114695209571,True
0.4,ABS_med_pct,24.3,24.313662951397315,True
0.4,DIFF_med_pct,8.3,8.281326533699794,True
0.4,MinMax_med_pct,61.4,61.44798288199122,True
0.5,WCL_med_pct,53.5,53.48751469810681,True
0.5,WCL_min_pct,17.7,17.674441105984496,True
0.5,WCL_max_pct,136.5,136.51384704840314,True
0.5,ABS_med_pct,34.6,34.567854743324794,True
0.5,DIFF_med_pct,15.2,15.238649373926751,True
0.5,MinMax_med_pct,84.3,84.34604105927014,True
