case_id,bin_center,tolerance,accepted_index,proposal_index,k,exact_S,selected_reception_numerator,denominator,receiver_ids,displacement_m,direction_seed,direction_realizations_per_subset,subset_rng_seed
bin10_subset0,0.1,0.025,0,10,6,0.12397003745318352,1324,10680,6;7;12;18;35;37,5000,6700,1,6606
bin10_subset1,0.1,0.025,1,34,5,0.12368913857677903,1321,10680,4;9;15;35;41,5000,6701,1,6606
bin10_subset2,0.1,0.025,2,50,2,0.10917602996254681,1166,10680,6;27,5000,6702,1,6606
bin10_subset3,0.1,0.025,3,54,5,0.09410112359550561,1005,10680,7;15;18;50;70,5000,6703,1,6606
bin10_subset4,0.1,0.025,4,56,3,0.11189138576779026,1195,10680,19;25;32,5000,6704,1,6606
bin10_subset5,0.1,0.025,5,64,4,0.1150749063670412,1229,10680,7;35;50;69,5000,6705,1,6606
bin10_subset6,0.1,0.025,6,72,4,0.0955992509363296,1021,10680,17;32;41;71,5000,6706,1,6606
bin10_subset7,0.1,0.025,7,89,3,0.1104868913857678,1180,10680,10;18;23,5000,6707,1,6606
bin20_subset0,0.2,0.025,0,22,8,0.18089887640449437,1932,10680,1;7;10;15;18;33;35;41,5000,6700,1,6606
bin20_subset1,0.2,0.025,1,28,5,0.1850187265917603,1976,10680,4;6;12;69;71,5000,6701,1,6606
bin20_subset2,0.2,0.025,2,32,7,0.18174157303370786,1941,10680,1;5;7;17;20;41;50,5000,6702,1,6606
bin20_subset3,0.2,0.025,3,43,6,0.19728464419475655,2107,10680,6;12;15;18;69;71,5000,6703,1,6606
bin20_subset4,0.2,0.025,4,68,6,0.19288389513108614,2060,10680,4;6;19;23;41;69,5000,6704,1,6606
bin20_subset5,0.2,0.025,5,69,5,0.17827715355805243,1904,10680,1;20;23;27;37,5000,6705,1,6606
bin20_subset6,0.2,0.025,6,77,9,0.21179775280898877,2262,10680,5;6;7;15;32;34;35;50;70,5000,6706,1,6606
bin20_subset7,0.2,0.025,7,93,5,0.20711610486891385,2212,10680,1;2;15;32;70,5000,6707,1,6606
bin30_subset0,0.3,0.025,0,14,10,0.3196629213483146,3414,10680,5;7;18;19;23;25;27;32;50;71,5000,6700,1,6606
bin30_subset1,0.3,0.025,1,27,11,0.29363295880149815,3136,10680,6;11;15;18;20;23;25;32;37;50;70,5000,6701,1,6606
bin30_subset2,0.3,0.025,2,36,9,0.3218164794007491,3437,10680,2;4;9;11;15;20;23;25;70,5000,6702,1,6606
bin30_subset3,0.3,0.025,3,38,10,0.3201310861423221,3419,10680,1;5;9;10;15;17;18;25;35;37,5000,6703,1,6606
bin30_subset4,0.3,0.025,4,52,7,0.300749063670412,3212,10680,2;4;5;7;20;32;33,5000,6704,1,6606
bin30_subset5,0.3,0.025,5,57,7,0.2973782771535581,3176,10680,5;9;11;14;15;23;25,5000,6705,1,6606
bin30_subset6,0.3,0.025,6,63,9,0.3156367041198502,3371,10680,10;11;12;25;32;35;37;41;69,5000,6706,1,6606
bin30_subset7,0.3,0.025,7,66,7,0.2995318352059925,3199,10680,2;6;10;15;20;35;69,5000,6707,1,6606
bin40_subset0,0.4,0.025,0,10,11,0.3765917602996255,4022,10680,1;5;7;9;17;18;25;27;34;41;70,5000,6700,1,6606
bin40_subset1,0.4,0.025,1,32,12,0.3955992509363296,4225,10680,1;9;10;12;19;23;25;27;32;35;37;41,5000,6701,1,6606
bin40_subset2,0.4,0.025,2,48,13,0.40402621722846443,4315,10680,2;4;6;7;12;15;25;27;33;37;69;70;71,5000,6702,1,6606
bin40_subset3,0.4,0.025,3,51,12,0.41685393258426967,4452,10680,5;6;10;12;14;15;17;19;50;69;70;71,5000,6703,1,6606
bin40_subset4,0.4,0.025,4,60,10,0.3849250936329588,4111,10680,1;2;5;9;14;15;17;19;33;50,5000,6704,1,6606
bin40_subset5,0.4,0.025,5,72,12,0.40664794007490634,4343,10680,1;2;9;12;18;19;20;32;33;35;37;70,5000,6705,1,6606
bin40_subset6,0.4,0.025,6,76,12,0.40243445692883895,4298,10680,5;7;9;12;15;18;19;20;23;25;27;34,5000,6706,1,6606
bin40_subset7,0.4,0.025,7,81,8,0.37612359550561797,4017,10680,1;4;7;18;20;23;27;69,5000,6707,1,6606
bin50_subset0,0.5,0.025,0,17,12,0.5103932584269663,5451,10680,1;6;14;17;18;25;27;32;34;41;69;71,5000,6700,1,6606
bin50_subset1,0.5,0.025,1,22,12,0.49625468164794007,5300,10680,2;4;9;11;12;14;19;20;32;37;41;50,5000,6701,1,6606
bin50_subset2,0.5,0.025,2,28,12,0.47593632958801496,5083,10680,1;4;11;14;15;18;19;20;23;25;37;69,5000,6702,1,6606
bin50_subset3,0.5,0.025,3,33,12,0.5,5340,10680,1;5;10;11;17;25;27;32;50;69;70;71,5000,6703,1,6606
bin50_subset4,0.5,0.025,4,111,14,0.4951310861423221,5288,10680,2;6;7;9;10;11;15;17;20;23;25;27;37;70,5000,6704,1,6606
bin50_subset5,0.5,0.025,5,123,13,0.49279026217228467,5263,10680,6;9;10;12;14;15;19;23;27;32;34;41;70,5000,6705,1,6606
bin50_subset6,0.5,0.025,6,152,14,0.4805243445692884,5132,10680,2;4;6;9;10;11;15;17;18;20;23;34;37;70,5000,6706,1,6606
bin50_subset7,0.5,0.025,7,172,13,0.4933520599250936,5269,10680,2;5;12;14;17;18;23;25;32;35;50;69;71,5000,6707,1,6606
