run,method,one_effect_pct,full_effect_pct,pass_sparse,pass_dense,pass_direction
O27_N4P7_D10000_W10,WCL,0.9,1003.0,True,True,True
O27_N4P7_D10000_W10,ABS,0.0,423.3,True,True,True
O27_N4P7_D10000_W10,DIFF,-4.9,195.3,True,True,True
O27_N4P7_D10000_W10,Min-Max,0.7,725.2,True,True,True
O32M71_N4P7_D10000_W10,WCL,0.5,895.3,True,True,True
O32M71_N4P7_D10000_W10,ABS,-0.1,399.4,True,True,True
O32M71_N4P7_D10000_W10,DIFF,-3.4,188.3,True,True,True
O32M71_N4P7_D10000_W10,Min-Max,6.1,581.5,True,True,True
O33PUBLISHED_N4P7_D10000_W10,WCL,0.8,929.8,True,True,True
O33PUBLISHED_N4P7_D10000_W10,ABS,0.0,428.3,True,True,True
O33PUBLISHED_N4P7_D10000_W10,DIFF,-5.4,213.9,True,True,True
O33PUBLISHED_N4P7_D10000_W10,Min-Max,5.2,650.3,True,True,True
O33R71_N4P7_D10000_W10,WCL,1.5,938.1,True,True,True
O33R71_N4P7_D10000_W10,ABS,-0.1,428.0,True,True,True
O33R71_N4P7_D10000_W10,DIFF,-5.5,213.5,True,True,True
O33R71_N4P7_D10000_W10,Min-Max,5.6,653.2,True,True,True
R27_N4P7_D10000_W10,WCL,0.3,973.5,True,True,True
R27_N4P7_D10000_W10,ABS,0.1,368.8,True,True,True
R27_N4P7_D10000_W10,DIFF,-0.7,254.2,True,True,True
R27_N4P7_D10000_W10,Min-Max,0.1,763.2,True,True,True
