run,map,n,D_m,window,N,map_n,source,transform,parameter,method,median_m,effect_pct,line,matched_iso_m,matched_iso_pct,gap_pp,matched_iso_draws
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,rot,0.5,WCL,594.0,0.0,197,597.0,0.5,-0.5,4
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,rot,0.5,ABS,552.0,-0.7,197,,,,
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,rot,0.5,DIFF,1085.0,0.2,197,,,,
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,rot,0.5,Min-Max,478.0,-0.1,197,,,,
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,rot,1.0,WCL,601.0,1.2,199,606.0,2.0,-0.8,4
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,rot,1.0,ABS,556.0,0.1,199,,,,
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,rot,1.0,DIFF,1086.0,0.3,199,,,,
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,rot,1.0,Min-Max,483.0,0.8,199,,,,
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,rot,2.0,WCL,608.0,2.4,201,620.0,4.4,-1.9,4
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,rot,2.0,ABS,551.0,-0.9,201,,,,
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,rot,2.0,DIFF,1119.0,3.4,201,,,,
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,rot,2.0,Min-Max,492.0,2.7,201,,,,
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,rot,5.0,WCL,659.0,11.0,203,686.0,15.6,-4.6,4
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,rot,5.0,ABS,588.0,5.9,203,,,,
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,rot,5.0,DIFF,1155.0,6.7,203,,,,
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,rot,5.0,Min-Max,515.0,7.5,203,,,,
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,scale,0.98,WCL,583.0,-1.9,205,601.0,1.3,-3.1,4
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,scale,0.98,ABS,544.0,-2.1,205,,,,
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,scale,0.98,DIFF,1069.0,-1.3,205,,,,
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,scale,0.98,Min-Max,471.0,-1.6,205,,,,
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,scale,0.99,WCL,590.0,-0.6,207,600.0,1.0,-1.6,4
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,scale,0.99,ABS,551.0,-0.9,207,,,,
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,scale,0.99,DIFF,1098.0,1.4,207,,,,
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,scale,0.99,Min-Max,476.0,-0.6,207,,,,
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,scale,1.01,WCL,597.0,0.6,209,603.0,1.5,-0.9,4
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,scale,1.01,ABS,562.0,1.2,209,,,,
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,scale,1.01,DIFF,1081.0,-0.1,209,,,,
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,scale,1.01,Min-Max,482.0,0.6,209,,,,
