run,samples,floor_reps,seed,corrupt_draws,quick_absent,pass
O26M71_N4P7_D5000_W10.command,2500,40,1,8,True,True
O27_N4P7_D10000_W10.command,2500,40,1,8,True,True
O27_N4P7_D1000_W10.command,2500,40,1,8,True,True
O27_N4P7_D5000_W10.command,2500,40,1,8,True,True
O32M71_N4P7_D10000_W10.command,2500,40,1,8,True,True
O32M71_N4P7_D1000_W10.command,2500,40,1,8,True,True
O32M71_N4P7_D5000_W10.command,2500,40,1,8,True,True
O32M71_N4P7_D5000_W5.command,2500,40,1,8,True,True
O33PUBLISHED_N4P7_D10000_W10.command,2500,40,1,8,True,True
O33PUBLISHED_N4P7_D5000_W10.command,2500,40,1,8,True,True
O33R71_N4P7_D10000_W10.command,2500,40,1,8,True,True
O33R71_N4P7_D1000_W10.command,2500,40,1,8,True,True
O33R71_N4P7_D5000_W10.command,2500,40,1,8,True,True
O33R71_N4P7_D5000_W5.command,2500,40,1,8,True,True
R26M71_N4P7_D5000_W10.command,2500,40,1,8,True,True
R27_N4P7_D10000_W10.command,2500,40,1,8,True,True
R27_N4P7_D1000_W10.command,2500,40,1,8,True,True
R27_N4P7_D5000_W10.command,2500,40,1,8,True,True
