map,window,N,k,added,exhausted_n,newly_exhausted_n,C_pct,delta_C_pp,S_pct,top_ids
official26_common_minus71.json,10,2494,1,14,0,0,0.0,0.0,10.139017608897127,14
official26_common_minus71.json,10,2494,2,69,0,0,0.0,0.0,18.60982391102873,"14,69"
official26_common_minus71.json,10,2494,3,27,8,8,0.32076984763432237,0.32076984763432237,26.91380908248378,"14,69,27"
official26_common_minus71.json,10,2494,4,9,26,18,1.0425020048115476,0.7217321571772253,34.43929564411492,"14,69,27,9"
official26_common_minus71.json,10,2494,5,32,129,103,5.172413793103448,4.1299117882919,41.807228915662655,"14,69,27,9,32"
official26_common_minus71.json,10,2494,6,2,140,11,5.613472333600641,0.4410585404971933,48.04448563484708,"14,69,27,9,32,2"
official26_common_minus71.json,10,2494,7,10,474,334,19.0056134723336,13.39214113873296,53.2808155699722,"14,69,27,9,32,2,10"
official26_common_minus71.json,10,2494,8,5,484,10,19.406575781876505,0.40096230954290296,58.34105653382762,"14,69,27,9,32,2,10,5"
official26_common_minus71.json,10,2494,9,11,540,56,21.65196471531676,2.245388933440257,63.29935125115848,"14,69,27,9,32,2,10,5,11"
official26_common_minus71.json,10,2494,10,4,617,77,24.739374498797112,3.0874097834803527,68.03521779425394,"14,69,27,9,32,2,10,5,11,4"
official26_common_minus71.json,10,2494,11,18,810,193,32.47794707297514,7.738572574178028,72.46524559777572,"14,69,27,9,32,2,10,5,11,4,18"
official26_common_minus71.json,10,2494,12,20,1018,208,40.81796311146752,8.340016038492381,76.70064874884152,"14,69,27,9,32,2,10,5,11,4,18,20"
official26_common_minus71.json,10,2494,13,1,1273,255,51.04250200481155,10.224538893344025,80.89898053753475,"14,69,27,9,32,2,10,5,11,4,18,20,1"
official26_common_minus71.json,10,2494,14,19,1392,119,55.81395348837209,4.771451483560545,83.64226135310473,"14,69,27,9,32,2,10,5,11,4,18,20,1,19"
official26_common_minus71.json,10,2494,15,6,1506,114,60.38492381716119,4.570970328789094,86.11677479147359,"14,69,27,9,32,2,10,5,11,4,18,20,1,19,6"
official26_common_minus71.json,10,2494,16,12,1651,145,66.19887730553327,5.813953488372093,88.48007414272475,"14,69,27,9,32,2,10,5,11,4,18,20,1,19,6,12"
official26_common_minus71.json,10,2494,17,7,1755,104,70.36888532477947,4.170008019246191,90.82483781278961,"14,69,27,9,32,2,10,5,11,4,18,20,1,19,6,12,7"
official26_common_minus71.json,10,2494,18,17,1883,128,75.50120288692864,5.132317562149158,92.95644114921224,"14,69,27,9,32,2,10,5,11,4,18,20,1,19,6,12,7,17"
