run,map,n,D_m,window,N,map_n,source,k,arm,S_display,method,median_m,effect_pct,draws,line,min_m,max_m
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,1,top,0.101,WCL,606.0,5.1,8,120,606.0,607.0
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,1,top,0.101,ABS,548.0,-0.2,8,120,543.0,556.0
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,1,top,0.101,DIFF,860.0,-17.9,8,120,813.0,991.0
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,1,top,0.101,Min-Max,548.0,14.0,8,120,525.0,575.0
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,1,bottom,0.001,WCL,577.0,0.0,8,122,577.0,577.0
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,1,bottom,0.001,ABS,549.0,0.0,8,122,549.0,549.0
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,1,bottom,0.001,DIFF,1049.0,0.1,8,122,1048.0,1052.0
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,1,bottom,0.001,Min-Max,481.0,0.0,8,122,480.0,481.0
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,1,random,0.033,WCL,579.0,0.3,8,124,,
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,1,random,0.033,ABS,550.0,0.1,8,124,,
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,1,random,0.033,DIFF,999.0,-4.7,8,124,,
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,1,random,0.033,Min-Max,487.0,1.3,8,124,,
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,2,top,0.186,WCL,580.0,0.5,8,125,576.0,580.0
