run,map,n,D_m,window,N,map_n,source,f,fraction_pct_display,method,median_m,effect_pct,draws,line,min_m,max_m
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,1,4,WCL,581.0,0.6,8,76,577.0,638.0
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,1,4,ABS,548.0,-0.2,8,76,543.0,565.0
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,1,4,DIFF,1025.0,-2.2,8,76,810.0,1124.0
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,1,4,Min-Max,492.0,2.5,8,76,471.0,545.0
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,3,12,WCL,631.0,9.3,8,78,584.0,694.0
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,3,12,ABS,589.0,7.3,8,78,550.0,604.0
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,3,12,DIFF,998.0,-4.7,8,78,833.0,1180.0
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,3,12,Min-Max,556.0,15.6,8,78,493.0,622.0
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,6,23,WCL,642.0,11.3,8,80,595.0,662.0
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,6,23,ABS,610.0,11.1,8,80,529.0,719.0
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,6,23,DIFF,948.0,-9.6,8,80,777.0,1096.0
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,6,23,Min-Max,580.0,20.8,8,80,545.0,671.0
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,13,50,WCL,812.0,40.8,8,82,590.0,1220.0
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,13,50,ABS,650.0,18.4,8,82,572.0,870.0
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,13,50,DIFF,844.0,-19.5,8,82,751.0,1221.0
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,13,50,Min-Max,741.0,54.1,8,82,548.0,1018.0
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,19,73,WCL,987.0,71.1,8,84,722.0,1920.0
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,19,73,ABS,822.0,49.7,8,84,739.0,1157.0
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,19,73,DIFF,1120.0,6.8,8,84,882.0,1519.0
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,19,73,Min-Max,881.0,83.3,8,84,691.0,1170.0
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,26,100,WCL,3096.0,436.5,8,86,2766.0,3335.0
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,26,100,ABS,1604.0,192.1,8,86,1358.0,1727.0
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,26,100,DIFF,1853.0,76.8,8,86,1701.0,2033.0
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,26,100,Min-Max,1866.0,288.4,8,86,1647.0,2145.0
O27_N4P7_D10000_W10,official27_common.json,4.7,10000,10,2498,27,results/O27_N4P7_D10000_W10.txt,1,4,WCL,555.0,0.9,8,76,550.0,582.0
O27_N4P7_D10000_W10,official27_common.json,4.7,10000,10,2498,27,results/O27_N4P7_D10000_W10.txt,1,4,ABS,560.0,0.0,8,76,551.0,569.0
