map,window,working_message_index,selected_ids,new_at_k7
official26_common_minus71.json,10,27981,"14,18,25,27,32,69",0
official26_common_minus71.json,10,28035,"5,14,32,69",0
official26_common_minus71.json,10,25669,"1,14,15,19,27,32,69",0
official26_common_minus71.json,10,20372,"4,5,14,20,27,32",0
official26_common_minus71.json,10,13201,"11,14,27,32",0
official26_common_minus71.json,10,33357,"19,25,27",0
official26_common_minus71.json,10,13031,"7,11,12",0
official26_common_minus71.json,10,40663,"18,25,27",0
official26_common_minus71.json,10,8700,"1,17,70",0
official26_common_minus71.json,10,38954,"14,18,19,20",0
official26_common_minus71.json,10,14099,"9,12,14",0
official26_common_minus71.json,10,24938,"9,12,14",0
official26_common_minus71.json,10,14531,"2,10,69",1
official26_common_minus71.json,10,32659,"2,10,69",1
official26_common_minus71.json,10,54522,"9,14,27",0
official26_common_minus71.json,10,7600,"5,11,37",0
official26_common_minus71.json,10,51718,"4,7,11,37",0
official26_common_minus71.json,10,18224,"4,5,11,20,32",0
official26_common_minus71.json,10,20613,"7,9,11",0
official26_common_minus71.json,10,7561,"4,5,6,9,11,12,14,27,32",0
official26_common_minus71.json,10,9832,"1,10,69",0
official26_common_minus71.json,10,26706,"14,18,27,32,69",0
official26_common_minus71.json,10,22466,"4,5,9,14,19",0
official26_common_minus71.json,10,40035,"1,2,10,69",0
official26_common_minus71.json,10,24629,"4,9,14,18",0
official26_common_minus71.json,10,37130,"18,27,69",0
official26_common_minus71.json,10,44437,"9,12,14,32",0
official26_common_minus71.json,10,24767,"1,17,70",0
official26_common_minus71.json,10,42889,"7,12,70",0
official26_common_minus71.json,10,26406,"18,25,27",0
official26_common_minus71.json,10,31198,"1,2,10,69",0
official26_common_minus71.json,10,39630,"2,7,12,17,27,70",0
official26_common_minus71.json,10,42728,"4,5,6,9,11,32,34",0
official26_common_minus71.json,10,9580,"1,25,69",0
official26_common_minus71.json,10,14683,"9,11,12,14",0
official26_common_minus71.json,10,53723,"1,2,7,9,11,12,14,17,18,27",0
official26_common_minus71.json,10,22053,"4,5,6,14,20,27,32",0
official26_common_minus71.json,10,13664,"2,10,69",1
official26_common_minus71.json,10,11773,"2,10,69",1
official26_common_minus71.json,10,27454,"6,7,9,11,17,37",0
official26_common_minus71.json,10,11998,"15,19,50",0
official26_common_minus71.json,10,346,"5,9,14,18,20,27,32",0
official26_common_minus71.json,10,23610,"4,5,7,11,20,27,32,34",0
official26_common_minus71.json,10,54489,"14,20,32",0
official26_common_minus71.json,10,38936,"14,18,25,27",0
official26_common_minus71.json,10,52441,"18,25,27",0
official26_common_minus71.json,10,2728,"27,32,69",0
official26_common_minus71.json,10,40293,"14,20,32,69",0
official26_common_minus71.json,10,29346,"14,32,69",0
official26_common_minus71.json,10,40759,"27,32,69",0
official26_common_minus71.json,10,30490,"18,27,32",0
official26_common_minus71.json,10,10933,"1,7,17,27,70",0
official26_common_minus71.json,10,47226,"14,20,27,32,69",0
official26_common_minus71.json,10,22000,"2,9,14",0
official26_common_minus71.json,10,41453,"1,2,10",0
official26_common_minus71.json,10,14069,"9,11,14",0
official26_common_minus71.json,10,44176,"1,2,7,9,12,14,17,18,27",0
official26_common_minus71.json,10,12232,"14,27,32",0
official26_common_minus71.json,10,35332,"14,19,20,32",0
official26_common_minus71.json,10,4457,"4,5,6",0
official26_common_minus71.json,10,22242,"14,27,32",0
official26_common_minus71.json,10,19424,"1,4,5,7,9,11,17",0
official26_common_minus71.json,10,19749,"2,10,69",1
official26_common_minus71.json,10,37602,"2,10,69",1
official26_common_minus71.json,10,26166,"2,10,69",1
official26_common_minus71.json,10,21873,"11,15,18,19,23,27,32,69",0
official26_common_minus71.json,10,43190,"14,17,20,32",0
official26_common_minus71.json,10,18374,"4,9,11,70",0
official26_common_minus71.json,10,13499,"18,23,27,69",0
official26_common_minus71.json,10,45285,"1,7,17",0
official26_common_minus71.json,10,16714,"14,27,69",0
official26_common_minus71.json,10,49213,"5,6,7,9,11,14,32,70",0
official26_common_minus71.json,10,28739,"18,27,69",0
official26_common_minus71.json,10,8843,"18,19,25,32",0
official26_common_minus71.json,10,36033,"14,27,32",0
official26_common_minus71.json,10,54686,"5,14,32",0
official26_common_minus71.json,10,37685,"1,2,7,10,69",0
official26_common_minus71.json,10,39624,"2,10,69",1
official26_common_minus71.json,10,26397,"4,5,9,14",0
official26_common_minus71.json,10,32128,"2,10,69",1
official26_common_minus71.json,10,23037,"2,7,17,70",0
official26_common_minus71.json,10,4403,"9,12,14,20",0
official26_common_minus71.json,10,36405,"9,18,27,32",0
official26_common_minus71.json,10,40147,"2,10,69",1
official26_common_minus71.json,10,45523,"1,2,27,69",0
official26_common_minus71.json,10,25195,"2,10,69",1
official26_common_minus71.json,10,1358,"1,7,17,70",0
official26_common_minus71.json,10,13463,"12,14,20,32",0
official26_common_minus71.json,10,49603,"14,20,27,32,69",0
official26_common_minus71.json,10,23606,"1,2,10,69",0
official26_common_minus71.json,10,2167,"11,14,27",0
official26_common_minus71.json,10,35781,"1,14,27,32,69",0
official26_common_minus71.json,10,51527,"2,10,11,69",0
official26_common_minus71.json,10,11650,"4,5,9,11,14,32",0
official26_common_minus71.json,10,31877,"5,9,14",0
official26_common_minus71.json,10,15323,"1,18,19,27",0
official26_common_minus71.json,10,8295,"18,25,27",0
official26_common_minus71.json,10,18164,"7,12,14",0
official26_common_minus71.json,10,44060,"1,2,10,69",0
official26_common_minus71.json,10,23825,"2,7,18,27,69",0
official26_common_minus71.json,10,39138,"5,20,32,34",0
official26_common_minus71.json,10,24566,"5,9,20",0
official26_common_minus71.json,10,2783,"2,10,69",1
official26_common_minus71.json,10,2597,"15,18,19,25,27",0
official26_common_minus71.json,10,54425,"10,27,69",1
official26_common_minus71.json,10,14983,"4,5,6,11,14,19,32,34",0
official26_common_minus71.json,10,48171,"7,17,70",0
official26_common_minus71.json,10,14896,"2,10,69",1
official26_common_minus71.json,10,6641,"2,10,69",1
official26_common_minus71.json,10,17865,"15,19,23,25,27",0
official26_common_minus71.json,10,42674,"1,9,14,18,27,32",0
official26_common_minus71.json,10,51422,"1,2,10",0
official26_common_minus71.json,10,47799,"2,10,69",1
official26_common_minus71.json,10,37570,"4,5,6,9,11",0
official26_common_minus71.json,10,41244,"2,7,70",0
official26_common_minus71.json,10,4811,"27,32,69",0
official26_common_minus71.json,10,4735,"2,18,27",0
