map_a,map_b,n_a,n_b,intersection_n,ordered_identical,set_identical
official26_common_minus71,official27_common,2494,2498,230,False,False
official26_common_minus71,official32_minus71,2494,2498,147,False,False
official26_common_minus71,official33_published,2494,2495,175,False,False
official26_common_minus71,official33_repaired71,2494,2495,175,False,False
official26_common_minus71,recovered26_common_minus71,2494,2494,2494,True,True
official26_common_minus71,recovered27_common,2494,2498,230,False,False
official26_common_minus71,recovered29,2494,2498,160,False,False
official27_common,official32_minus71,2498,2498,169,False,False
official27_common,official33_published,2498,2495,150,False,False
official27_common,official33_repaired71,2498,2495,150,False,False
official27_common,recovered26_common_minus71,2498,2494,230,False,False
official27_common,recovered27_common,2498,2498,2498,True,True
official27_common,recovered29,2498,2498,171,False,False
official32_minus71,official33_published,2498,2495,208,False,False
official32_minus71,official33_repaired71,2498,2495,208,False,False
official32_minus71,recovered26_common_minus71,2498,2494,147,False,False
official32_minus71,recovered27_common,2498,2498,169,False,False
official32_minus71,recovered29,2498,2498,180,False,False
official33_published,official33_repaired71,2495,2495,2495,True,True
official33_published,recovered26_common_minus71,2495,2494,175,False,False
official33_published,recovered27_common,2495,2498,150,False,False
official33_published,recovered29,2495,2498,174,False,False
official33_repaired71,recovered26_common_minus71,2495,2494,175,False,False
official33_repaired71,recovered27_common,2495,2498,150,False,False
official33_repaired71,recovered29,2495,2498,174,False,False
recovered26_common_minus71,recovered27_common,2494,2498,230,False,False
recovered26_common_minus71,recovered29,2494,2498,160,False,False
recovered27_common,recovered29,2498,2498,171,False,False
