run,check,pass_check
O26M71_N4P7_D5000_W10,N replay,True
O26M71_N4P7_D5000_W10,selection share k=1,True
O26M71_N4P7_D5000_W10,selection share k=2,True
O26M71_N4P7_D5000_W10,selection share k=3,True
O26M71_N4P7_D5000_W10,selection share k=4,True
O26M71_N4P7_D5000_W10,selection share k=5,True
O26M71_N4P7_D5000_W10,selection share k=6,True
O26M71_N4P7_D5000_W10,selection share k=7,True
O26M71_N4P7_D5000_W10,selection share k=8,True
O27_N4P7_D10000_W10,N replay,True
O27_N4P7_D1000_W10,N replay,True
O27_N4P7_D1000_W10,selection share k=1,True
O27_N4P7_D1000_W10,selection share k=2,True
O27_N4P7_D1000_W10,selection share k=3,True
O27_N4P7_D1000_W10,selection share k=4,True
O27_N4P7_D1000_W10,selection share k=5,True
O27_N4P7_D1000_W10,selection share k=6,True
O27_N4P7_D1000_W10,selection share k=7,True
O27_N4P7_D1000_W10,selection share k=8,True
O27_N4P7_D5000_W10,N replay,True
O27_N4P7_D5000_W10,selection share k=1,True
O27_N4P7_D5000_W10,selection share k=2,True
O27_N4P7_D5000_W10,selection share k=3,True
O27_N4P7_D5000_W10,selection share k=4,True
O27_N4P7_D5000_W10,selection share k=5,True
O27_N4P7_D5000_W10,selection share k=6,True
O27_N4P7_D5000_W10,selection share k=7,True
O27_N4P7_D5000_W10,selection share k=8,True
O27_N4P7_D5000_W10,selection share k=9,True
O27_N4P7_D5000_W10,selection share k=10,True
O27_N4P7_D5000_W10,selection share k=11,True
O27_N4P7_D5000_W10,selection share k=12,True
O27_N4P7_D5000_W10,selection share k=13,True
O27_N4P7_D5000_W10,selection share k=14,True
O32M71_N4P7_D10000_W10,N replay,True
O32M71_N4P7_D1000_W10,N replay,True
O32M71_N4P7_D1000_W10,selection share k=1,True
O32M71_N4P7_D1000_W10,selection share k=2,True
O32M71_N4P7_D1000_W10,selection share k=3,True
O32M71_N4P7_D1000_W10,selection share k=4,True
O32M71_N4P7_D1000_W10,selection share k=5,True
O32M71_N4P7_D1000_W10,selection share k=6,True
O32M71_N4P7_D1000_W10,selection share k=7,True
O32M71_N4P7_D1000_W10,selection share k=8,True
O32M71_N4P7_D5000_W10,N replay,True
