run,map,n,D_m,window,N,map_n,draws,expose_k_max,expose_directions,spatial,returncode,done,reference_line,source,WCL_reference_m,ABS_reference_m,DIFF_reference_m,Min-Max_reference_m,fatal_markers,end_marker
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,8,8,8,0,0,True,64,results/O26M71_N4P7_D5000_W10.txt,577,549,1048,481,False,True
O27_N4P7_D10000_W10,official27_common.json,4.7,10000,10,2498,27,8,0,1,0,0,True,64,results/O27_N4P7_D10000_W10.txt,550,560,1104,443,False,True
O27_N4P7_D1000_W10,official27_common.json,4.7,1000,10,2498,27,8,8,4,0,0,True,64,results/O27_N4P7_D1000_W10.txt,550,560,1104,443,False,True
O27_N4P7_D5000_W10,official27_common.json,4.7,5000,10,2498,27,8,14,8,0,0,True,64,results/O27_N4P7_D5000_W10.txt,550,560,1104,443,False,True
O32M71_N4P7_D10000_W10,official32_minus71.json,4.7,10000,10,2498,32,8,0,1,0,0,True,64,results/O32M71_N4P7_D10000_W10.txt,594,556,1083,479,False,True
O32M71_N4P7_D1000_W10,official32_minus71.json,4.7,1000,10,2498,32,8,8,4,0,0,True,64,results/O32M71_N4P7_D1000_W10.txt,594,556,1083,479,False,True
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,8,14,8,1,0,True,64,results/O32M71_N4P7_D5000_W10.txt,594,556,1083,479,False,True
O32M71_N4P7_D5000_W5,official32_minus71.json,4.7,5000,5,2498,32,8,8,4,0,0,True,64,results/O32M71_N4P7_D5000_W5.txt,601,563,1160,471,False,True
O33PUBLISHED_N4P7_D10000_W10,official33_published.json,4.7,10000,10,2495,33,8,0,1,0,0,True,64,results/O33PUBLISHED_N4P7_D10000_W10.txt,585,528,1012,468,False,True
O33PUBLISHED_N4P7_D5000_W10,official33_published.json,4.7,5000,10,2495,33,8,14,8,0,0,True,64,results/O33PUBLISHED_N4P7_D5000_W10.txt,585,528,1012,468,False,True
O33R71_N4P7_D10000_W10,official33_repaired71.json,4.7,10000,10,2495,33,8,0,1,0,0,True,64,results/O33R71_N4P7_D10000_W10.txt,580,528,1013,466,False,True
O33R71_N4P7_D1000_W10,official33_repaired71.json,4.7,1000,10,2495,33,8,8,4,0,0,True,64,results/O33R71_N4P7_D1000_W10.txt,580,528,1013,466,False,True
O33R71_N4P7_D5000_W10,official33_repaired71.json,4.7,5000,10,2495,33,8,14,8,0,0,True,64,results/O33R71_N4P7_D5000_W10.txt,580,528,1013,466,False,True
O33R71_N4P7_D5000_W5,official33_repaired71.json,4.7,5000,5,2495,33,8,8,4,0,0,True,64,results/O33R71_N4P7_D5000_W5.txt,593,532,1112,452,False,True
R26M71_N4P7_D5000_W10,recovered26_common_minus71.json,4.7,5000,10,2494,26,8,8,8,0,0,True,64,results/R26M71_N4P7_D5000_W10.txt,614,644,1001,510,False,True
R27_N4P7_D10000_W10,recovered27_common.json,4.7,10000,10,2498,27,8,0,1,0,0,True,64,results/R27_N4P7_D10000_W10.txt,593,640,990,470,False,True
R27_N4P7_D1000_W10,recovered27_common.json,4.7,1000,10,2498,27,8,8,4,0,0,True,64,results/R27_N4P7_D1000_W10.txt,593,640,990,470,False,True
R27_N4P7_D5000_W10,recovered27_common.json,4.7,5000,10,2498,27,8,14,8,0,0,True,64,results/R27_N4P7_D5000_W10.txt,593,640,990,470,False,True
