run,method,k6_pct,k7_pct,jump_pp,positive,largest_early_k,is_largest_k7,largest_early_pp,jumps_1to8,k6_line,k7_line,source
O26M71_N4P7_D5000_W10,WCL,28.7,127.7,99.0,True,7,True,99.0,"{""1"": 5.1, ""2"": -4.6, ""3"": 5.6, ""4"": 7.3, ""5"": 16.0, ""6"": -0.7, ""7"": 99.0, ""8"": -8.6}",145,150,results/O26M71_N4P7_D5000_W10.txt
O26M71_N4P7_D5000_W10,ABS,12.9,72.1,59.2,True,7,True,59.2,"{""1"": -0.2, ""2"": -1.2, ""3"": 0.7, ""4"": 7.8, ""5"": 4.9, ""6"": 0.9, ""7"": 59.2, ""8"": -0.1}",145,150,results/O26M71_N4P7_D5000_W10.txt
O26M71_N4P7_D5000_W10,DIFF,-16.6,23.0,39.6,True,7,True,39.6,"{""1"": -17.9, ""2"": -6.4, ""3"": 3.6, ""4"": 1.5, ""5"": 3.9, ""6"": -1.3, ""7"": 39.6, ""8"": -5.9}",145,150,results/O26M71_N4P7_D5000_W10.txt
O26M71_N4P7_D5000_W10,Min-Max,51.7,151.5,99.8,True,7,True,99.8,"{""1"": 14.0, ""2"": 1.0, ""3"": 5.4, ""4"": 15.1, ""5"": 19.8, ""6"": -3.6, ""7"": 99.8, ""8"": -25.6}",145,150,results/O26M71_N4P7_D5000_W10.txt
O27_N4P7_D1000_W10,WCL,16.1,38.6,22.5,True,7,True,22.5,"{""1"": 6.3, ""2"": 5.9, ""3"": 16.1, ""4"": -8.8, ""5"": 8.4, ""6"": -11.8, ""7"": 22.5, ""8"": -11.0}",145,150,results/O27_N4P7_D1000_W10.txt
O27_N4P7_D1000_W10,ABS,8.6,44.2,35.6,True,7,True,35.6,"{""1"": 2.0, ""2"": 8.2, ""3"": -0.9, ""4"": -0.7, ""5"": 11.2, ""6"": -11.2, ""7"": 35.6, ""8"": -32.4}",145,150,results/O27_N4P7_D1000_W10.txt
O27_N4P7_D1000_W10,DIFF,-0.2,19.1,19.3,True,8,False,28.4,"{""1"": -4.4, ""2"": 2.0, ""3"": -1.4, ""4"": 6.6, ""5"": -3.1, ""6"": 0.1, ""7"": 19.3, ""8"": 28.4}",145,150,results/O27_N4P7_D1000_W10.txt
O27_N4P7_D1000_W10,Min-Max,15.6,51.5,35.9,True,7,True,35.9,"{""1"": 6.7, ""2"": 8.7, ""3"": 3.6, ""4"": -5.1, ""5"": 13.9, ""6"": -12.2, ""7"": 35.9, ""8"": -31.1}",145,150,results/O27_N4P7_D1000_W10.txt
O27_N4P7_D5000_W10,WCL,31.1,158.1,127.0,True,7,True,127.0,"{""1"": 5.2, ""2"": -3.3, ""3"": 6.7, ""4"": 14.6, ""5"": 8.9, ""6"": -1.0, ""7"": 127.0, ""8"": -15.6}",145,150,results/O27_N4P7_D5000_W10.txt
O27_N4P7_D5000_W10,ABS,7.5,66.7,59.2,True,7,True,59.2,"{""1"": -0.6, ""2"": -2.9, ""3"": 1.6, ""4"": 5.8, ""5"": 2.3, ""6"": 1.3, ""7"": 59.2, ""8"": 0.9}",145,150,results/O27_N4P7_D5000_W10.txt
O27_N4P7_D5000_W10,DIFF,-24.5,18.3,42.8,True,7,True,42.8,"{""1"": -20.5, ""2"": -6.3, ""3"": 1.3, ""4"": 0.8, ""5"": -0.4, ""6"": 0.6, ""7"": 42.8, ""8"": -9.2}",145,150,results/O27_N4P7_D5000_W10.txt
