k,receiver_entering,cumulative_selections,denominator,exact_S
1,14,1026,10680,0.09606741573033707
2,69,1993,10680,0.18661048689138576
3,27,2862,10680,0.2679775280898876
4,32,3629,10680,0.3397940074906367
5,2,4366,10680,0.40880149812734085
6,9,5092,10680,0.47677902621722845
7,10,5712,10680,0.5348314606741573
8,11,6258,10680,0.5859550561797753
9,5,6787,10680,0.6354868913857677
10,18,7282,10680,0.6818352059925094
11,4,7757,10680,0.726310861423221
12,20,8216,10680,0.7692883895131086
13,1,8668,10680,0.8116104868913858
14,6,8965,10680,0.8394194756554307
