D_m,f,method,median_m,effect_pct,draw_min_m,draw_max_m,draws,source_file,source_line,range_line,precision
250,1,WCL,598.0,0.0,595.0,601.0,8,results/base_logs/diffrepair_e1_d250.txt,76,77,original printed whole-metre range; effect at one decimal
250,1,ABS,641.0,0.0,639.0,674.0,8,results/base_logs/diffrepair_e1_d250.txt,76,77,original printed whole-metre range; effect at one decimal
250,1,DIFF,963.0,-0.1,950.0,998.0,8,results/base_logs/diffrepair_e1_d250.txt,76,77,original printed whole-metre range; effect at one decimal
250,1,Min-Max,467.0,0.1,465.0,475.0,8,results/base_logs/diffrepair_e1_d250.txt,76,77,original printed whole-metre range; effect at one decimal
250,3,WCL,600.0,0.4,598.0,660.0,8,results/base_logs/diffrepair_e1_d250.txt,78,79,original printed whole-metre range; effect at one decimal
250,3,ABS,642.0,0.1,632.0,675.0,8,results/base_logs/diffrepair_e1_d250.txt,78,79,original printed whole-metre range; effect at one decimal
250,3,DIFF,978.0,1.5,926.0,1079.0,8,results/base_logs/diffrepair_e1_d250.txt,78,79,original printed whole-metre range; effect at one decimal
250,3,Min-Max,467.0,0.3,459.0,482.0,8,results/base_logs/diffrepair_e1_d250.txt,78,79,original printed whole-metre range; effect at one decimal
250,7,WCL,595.0,-0.4,521.0,639.0,8,results/base_logs/diffrepair_e1_d250.txt,80,81,original printed whole-metre range; effect at one decimal
250,7,ABS,637.0,-0.6,619.0,670.0,8,results/base_logs/diffrepair_e1_d250.txt,80,81,original printed whole-metre range; effect at one decimal
250,7,DIFF,970.0,0.6,887.0,1121.0,8,results/base_logs/diffrepair_e1_d250.txt,80,81,original printed whole-metre range; effect at one decimal
250,7,Min-Max,463.0,-0.7,443.0,468.0,8,results/base_logs/diffrepair_e1_d250.txt,80,81,original printed whole-metre range; effect at one decimal
250,14,WCL,603.0,0.8,548.0,753.0,8,results/base_logs/diffrepair_e1_d250.txt,82,83,original printed whole-metre range; effect at one decimal
250,14,ABS,638.0,-0.5,537.0,683.0,8,results/base_logs/diffrepair_e1_d250.txt,82,83,original printed whole-metre range; effect at one decimal
250,14,DIFF,988.0,2.5,829.0,1058.0,8,results/base_logs/diffrepair_e1_d250.txt,82,83,original printed whole-metre range; effect at one decimal
250,14,Min-Max,472.0,1.3,431.0,518.0,8,results/base_logs/diffrepair_e1_d250.txt,82,83,original printed whole-metre range; effect at one decimal
250,21,WCL,658.0,10.1,556.0,734.0,8,results/base_logs/diffrepair_e1_d250.txt,84,85,original printed whole-metre range; effect at one decimal
250,21,ABS,646.0,0.8,587.0,725.0,8,results/base_logs/diffrepair_e1_d250.txt,84,85,original printed whole-metre range; effect at one decimal
250,21,DIFF,1123.0,16.5,913.0,1150.0,8,results/base_logs/diffrepair_e1_d250.txt,84,85,original printed whole-metre range; effect at one decimal
250,21,Min-Max,474.0,1.7,432.0,536.0,8,results/base_logs/diffrepair_e1_d250.txt,84,85,original printed whole-metre range; effect at one decimal
250,29,WCL,615.0,2.8,536.0,733.0,8,results/base_logs/diffrepair_e1_d250.txt,86,87,original printed whole-metre range; effect at one decimal
250,29,ABS,644.0,0.5,591.0,835.0,8,results/base_logs/diffrepair_e1_d250.txt,86,87,original printed whole-metre range; effect at one decimal
250,29,DIFF,1021.0,5.9,906.0,1220.0,8,results/base_logs/diffrepair_e1_d250.txt,86,87,original printed whole-metre range; effect at one decimal
250,29,Min-Max,473.0,1.6,437.0,548.0,8,results/base_logs/diffrepair_e1_d250.txt,86,87,original printed whole-metre range; effect at one decimal
500,1,WCL,598.0,0.0,589.0,666.0,32,results/base_logs/diffrepair_e1_d500_dr32.txt,76,77,original printed whole-metre range; effect at one decimal
500,1,ABS,641.0,0.0,599.0,731.0,32,results/base_logs/diffrepair_e1_d500_dr32.txt,76,77,original printed whole-metre range; effect at one decimal
500,1,DIFF,964.0,0.0,944.0,1239.0,32,results/base_logs/diffrepair_e1_d500_dr32.txt,76,77,original printed whole-metre range; effect at one decimal
500,1,Min-Max,466.0,0.0,461.0,533.0,32,results/base_logs/diffrepair_e1_d500_dr32.txt,76,77,original printed whole-metre range; effect at one decimal
500,3,WCL,599.0,0.2,584.0,729.0,32,results/base_logs/diffrepair_e1_d500_dr32.txt,78,79,original printed whole-metre range; effect at one decimal
500,3,ABS,642.0,0.2,575.0,688.0,32,results/base_logs/diffrepair_e1_d500_dr32.txt,78,79,original printed whole-metre range; effect at one decimal
500,3,DIFF,977.0,1.3,842.0,1257.0,32,results/base_logs/diffrepair_e1_d500_dr32.txt,78,79,original printed whole-metre range; effect at one decimal
500,3,Min-Max,472.0,1.3,448.0,544.0,32,results/base_logs/diffrepair_e1_d500_dr32.txt,78,79,original printed whole-metre range; effect at one decimal
500,7,WCL,598.0,0.1,552.0,784.0,32,results/base_logs/diffrepair_e1_d500_dr32.txt,80,81,original printed whole-metre range; effect at one decimal
500,7,ABS,649.0,1.2,556.0,734.0,32,results/base_logs/diffrepair_e1_d500_dr32.txt,80,81,original printed whole-metre range; effect at one decimal
500,7,DIFF,1004.0,4.1,853.0,1314.0,32,results/base_logs/diffrepair_e1_d500_dr32.txt,80,81,original printed whole-metre range; effect at one decimal
500,7,Min-Max,474.0,1.7,442.0,547.0,32,results/base_logs/diffrepair_e1_d500_dr32.txt,80,81,original printed whole-metre range; effect at one decimal
