stage,case_id,substrate,exponent,method,N,median_error_m,spec_json,archive,member,raw_sha256
exact7,exact7__recovered29__reference,recovered29,4.7,WCL,2498,597.6726773737064,"{""kind"": ""reference""}",results/archives/PAPERB_B9C_REMAINING_AUTHOR_RUN_050926.zip,PAPERB_B9C_REMAINING_AUTHOR_RUN_050926/raw/exact7/exact7__recovered29__reference.npz,fd12679583d197d82ae9194f4b5a8f85cad6c49082ca8d313db7d7d0ab8bbdec
exact7,exact7__recovered29__reference,recovered29,4.7,ABS,2498,641.0128583786435,"{""kind"": ""reference""}",results/archives/PAPERB_B9C_REMAINING_AUTHOR_RUN_050926.zip,PAPERB_B9C_REMAINING_AUTHOR_RUN_050926/raw/exact7/exact7__recovered29__reference.npz,fd12679583d197d82ae9194f4b5a8f85cad6c49082ca8d313db7d7d0ab8bbdec
exact7,exact7__recovered29__reference,recovered29,4.7,DIFF,2498,963.9527294587203,"{""kind"": ""reference""}",results/archives/PAPERB_B9C_REMAINING_AUTHOR_RUN_050926.zip,PAPERB_B9C_REMAINING_AUTHOR_RUN_050926/raw/exact7/exact7__recovered29__reference.npz,fd12679583d197d82ae9194f4b5a8f85cad6c49082ca8d313db7d7d0ab8bbdec
exact7,exact7__recovered29__reference,recovered29,4.7,Min-Max,2498,466.00552668865595,"{""kind"": ""reference""}",results/archives/PAPERB_B9C_REMAINING_AUTHOR_RUN_050926.zip,PAPERB_B9C_REMAINING_AUTHOR_RUN_050926/raw/exact7/exact7__recovered29__reference.npz,fd12679583d197d82ae9194f4b5a8f85cad6c49082ca8d313db7d7d0ab8bbdec
exact7,exact7__recovered29__D1000__f7__d0,recovered29,4.7,WCL,2498,796.2526444171036,"{""D"": 1000, ""draw"": 0, ""f"": 7, ""kind"": ""fraction""}",results/archives/PAPERB_B9C_REMAINING_AUTHOR_RUN_050926.zip,PAPERB_B9C_REMAINING_AUTHOR_RUN_050926/raw/exact7/exact7__recovered29__D1000__f7__d0.npz,64b847b8ca2c541e396cdadd0f8194bd50be9af9b29a68a14f3a580a449099dc
exact7,exact7__recovered29__D1000__f7__d0,recovered29,4.7,ABS,2498,705.7334033344639,"{""D"": 1000, ""draw"": 0, ""f"": 7, ""kind"": ""fraction""}",results/archives/PAPERB_B9C_REMAINING_AUTHOR_RUN_050926.zip,PAPERB_B9C_REMAINING_AUTHOR_RUN_050926/raw/exact7/exact7__recovered29__D1000__f7__d0.npz,64b847b8ca2c541e396cdadd0f8194bd50be9af9b29a68a14f3a580a449099dc
exact7,exact7__recovered29__D1000__f7__d0,recovered29,4.7,DIFF,2498,1531.4932782555557,"{""D"": 1000, ""draw"": 0, ""f"": 7, ""kind"": ""fraction""}",results/archives/PAPERB_B9C_REMAINING_AUTHOR_RUN_050926.zip,PAPERB_B9C_REMAINING_AUTHOR_RUN_050926/raw/exact7/exact7__recovered29__D1000__f7__d0.npz,64b847b8ca2c541e396cdadd0f8194bd50be9af9b29a68a14f3a580a449099dc
exact7,exact7__recovered29__D1000__f7__d0,recovered29,4.7,Min-Max,2498,592.6814074642573,"{""D"": 1000, ""draw"": 0, ""f"": 7, ""kind"": ""fraction""}",results/archives/PAPERB_B9C_REMAINING_AUTHOR_RUN_050926.zip,PAPERB_B9C_REMAINING_AUTHOR_RUN_050926/raw/exact7/exact7__recovered29__D1000__f7__d0.npz,64b847b8ca2c541e396cdadd0f8194bd50be9af9b29a68a14f3a580a449099dc
exact7,exact7__recovered29__D1000__f7__d1,recovered29,4.7,WCL,2498,657.8589130933441,"{""D"": 1000, ""draw"": 1, ""f"": 7, ""kind"": ""fraction""}",results/archives/PAPERB_B9C_REMAINING_AUTHOR_RUN_050926.zip,PAPERB_B9C_REMAINING_AUTHOR_RUN_050926/raw/exact7/exact7__recovered29__D1000__f7__d1.npz,89931c8556c5172d81a1db0c68d36be61333870fe46a8f911beed3d5116e3aae
exact7,exact7__recovered29__D1000__f7__d1,recovered29,4.7,ABS,2498,717.066029344613,"{""D"": 1000, ""draw"": 1, ""f"": 7, ""kind"": ""fraction""}",results/archives/PAPERB_B9C_REMAINING_AUTHOR_RUN_050926.zip,PAPERB_B9C_REMAINING_AUTHOR_RUN_050926/raw/exact7/exact7__recovered29__D1000__f7__d1.npz,89931c8556c5172d81a1db0c68d36be61333870fe46a8f911beed3d5116e3aae
exact7,exact7__recovered29__D1000__f7__d1,recovered29,4.7,DIFF,2498,1071.0018323326672,"{""D"": 1000, ""draw"": 1, ""f"": 7, ""kind"": ""fraction""}",results/archives/PAPERB_B9C_REMAINING_AUTHOR_RUN_050926.zip,PAPERB_B9C_REMAINING_AUTHOR_RUN_050926/raw/exact7/exact7__recovered29__D1000__f7__d1.npz,89931c8556c5172d81a1db0c68d36be61333870fe46a8f911beed3d5116e3aae
exact7,exact7__recovered29__D1000__f7__d1,recovered29,4.7,Min-Max,2498,491.36199035611804,"{""D"": 1000, ""draw"": 1, ""f"": 7, ""kind"": ""fraction""}",results/archives/PAPERB_B9C_REMAINING_AUTHOR_RUN_050926.zip,PAPERB_B9C_REMAINING_AUTHOR_RUN_050926/raw/exact7/exact7__recovered29__D1000__f7__d1.npz,89931c8556c5172d81a1db0c68d36be61333870fe46a8f911beed3d5116e3aae
exact7,exact7__recovered29__D1000__f7__d2,recovered29,4.7,WCL,2498,635.8842981103539,"{""D"": 1000, ""draw"": 2, ""f"": 7, ""kind"": ""fraction""}",results/archives/PAPERB_B9C_REMAINING_AUTHOR_RUN_050926.zip,PAPERB_B9C_REMAINING_AUTHOR_RUN_050926/raw/exact7/exact7__recovered29__D1000__f7__d2.npz,653ab4247c8cbacda404419ebf7ce54bdac8fed8d9425cc3b5524a2380672869
exact7,exact7__recovered29__D1000__f7__d2,recovered29,4.7,ABS,2498,671.4616895645496,"{""D"": 1000, ""draw"": 2, ""f"": 7, ""kind"": ""fraction""}",results/archives/PAPERB_B9C_REMAINING_AUTHOR_RUN_050926.zip,PAPERB_B9C_REMAINING_AUTHOR_RUN_050926/raw/exact7/exact7__recovered29__D1000__f7__d2.npz,653ab4247c8cbacda404419ebf7ce54bdac8fed8d9425cc3b5524a2380672869
exact7,exact7__recovered29__D1000__f7__d2,recovered29,4.7,DIFF,2498,1059.8316071816673,"{""D"": 1000, ""draw"": 2, ""f"": 7, ""kind"": ""fraction""}",results/archives/PAPERB_B9C_REMAINING_AUTHOR_RUN_050926.zip,PAPERB_B9C_REMAINING_AUTHOR_RUN_050926/raw/exact7/exact7__recovered29__D1000__f7__d2.npz,653ab4247c8cbacda404419ebf7ce54bdac8fed8d9425cc3b5524a2380672869
exact7,exact7__recovered29__D1000__f7__d2,recovered29,4.7,Min-Max,2498,504.71627349419475,"{""D"": 1000, ""draw"": 2, ""f"": 7, ""kind"": ""fraction""}",results/archives/PAPERB_B9C_REMAINING_AUTHOR_RUN_050926.zip,PAPERB_B9C_REMAINING_AUTHOR_RUN_050926/raw/exact7/exact7__recovered29__D1000__f7__d2.npz,653ab4247c8cbacda404419ebf7ce54bdac8fed8d9425cc3b5524a2380672869
exact7,exact7__recovered29__D1000__f7__d3,recovered29,4.7,WCL,2498,614.1225346859156,"{""D"": 1000, ""draw"": 3, ""f"": 7, ""kind"": ""fraction""}",results/archives/PAPERB_B9C_REMAINING_AUTHOR_RUN_050926.zip,PAPERB_B9C_REMAINING_AUTHOR_RUN_050926/raw/exact7/exact7__recovered29__D1000__f7__d3.npz,ee7d270e9290f407d7f26cb8ce36d01bf201d3eaef79031147200cace8c97db7
exact7,exact7__recovered29__D1000__f7__d3,recovered29,4.7,ABS,2498,668.6002443862328,"{""D"": 1000, ""draw"": 3, ""f"": 7, ""kind"": ""fraction""}",results/archives/PAPERB_B9C_REMAINING_AUTHOR_RUN_050926.zip,PAPERB_B9C_REMAINING_AUTHOR_RUN_050926/raw/exact7/exact7__recovered29__D1000__f7__d3.npz,ee7d270e9290f407d7f26cb8ce36d01bf201d3eaef79031147200cace8c97db7
exact7,exact7__recovered29__D1000__f7__d3,recovered29,4.7,DIFF,2498,976.3649468417703,"{""D"": 1000, ""draw"": 3, ""f"": 7, ""kind"": ""fraction""}",results/archives/PAPERB_B9C_REMAINING_AUTHOR_RUN_050926.zip,PAPERB_B9C_REMAINING_AUTHOR_RUN_050926/raw/exact7/exact7__recovered29__D1000__f7__d3.npz,ee7d270e9290f407d7f26cb8ce36d01bf201d3eaef79031147200cace8c97db7
exact7,exact7__recovered29__D1000__f7__d3,recovered29,4.7,Min-Max,2498,472.43852683569435,"{""D"": 1000, ""draw"": 3, ""f"": 7, ""kind"": ""fraction""}",results/archives/PAPERB_B9C_REMAINING_AUTHOR_RUN_050926.zip,PAPERB_B9C_REMAINING_AUTHOR_RUN_050926/raw/exact7/exact7__recovered29__D1000__f7__d3.npz,ee7d270e9290f407d7f26cb8ce36d01bf201d3eaef79031147200cace8c97db7
exact7,exact7__recovered29__D1000__f7__d4,recovered29,4.7,WCL,2498,809.5365938722035,"{""D"": 1000, ""draw"": 4, ""f"": 7, ""kind"": ""fraction""}",results/archives/PAPERB_B9C_REMAINING_AUTHOR_RUN_050926.zip,PAPERB_B9C_REMAINING_AUTHOR_RUN_050926/raw/exact7/exact7__recovered29__D1000__f7__d4.npz,a954a0832a7ed8813ab6d55588fb603b52ee1c81ce30b7080d4d84849819c2b8
exact7,exact7__recovered29__D1000__f7__d4,recovered29,4.7,ABS,2498,753.2566348486259,"{""D"": 1000, ""draw"": 4, ""f"": 7, ""kind"": ""fraction""}",results/archives/PAPERB_B9C_REMAINING_AUTHOR_RUN_050926.zip,PAPERB_B9C_REMAINING_AUTHOR_RUN_050926/raw/exact7/exact7__recovered29__D1000__f7__d4.npz,a954a0832a7ed8813ab6d55588fb603b52ee1c81ce30b7080d4d84849819c2b8
exact7,exact7__recovered29__D1000__f7__d4,recovered29,4.7,DIFF,2498,1166.4141366542217,"{""D"": 1000, ""draw"": 4, ""f"": 7, ""kind"": ""fraction""}",results/archives/PAPERB_B9C_REMAINING_AUTHOR_RUN_050926.zip,PAPERB_B9C_REMAINING_AUTHOR_RUN_050926/raw/exact7/exact7__recovered29__D1000__f7__d4.npz,a954a0832a7ed8813ab6d55588fb603b52ee1c81ce30b7080d4d84849819c2b8
exact7,exact7__recovered29__D1000__f7__d4,recovered29,4.7,Min-Max,2498,682.8762502534686,"{""D"": 1000, ""draw"": 4, ""f"": 7, ""kind"": ""fraction""}",results/archives/PAPERB_B9C_REMAINING_AUTHOR_RUN_050926.zip,PAPERB_B9C_REMAINING_AUTHOR_RUN_050926/raw/exact7/exact7__recovered29__D1000__f7__d4.npz,a954a0832a7ed8813ab6d55588fb603b52ee1c81ce30b7080d4d84849819c2b8
exact7,exact7__recovered29__D1000__f7__d5,recovered29,4.7,WCL,2498,634.8131955317783,"{""D"": 1000, ""draw"": 5, ""f"": 7, ""kind"": ""fraction""}",results/archives/PAPERB_B9C_REMAINING_AUTHOR_RUN_050926.zip,PAPERB_B9C_REMAINING_AUTHOR_RUN_050926/raw/exact7/exact7__recovered29__D1000__f7__d5.npz,b8c915d0974db0f43f20b761a6af78eb523ca1ef39ea2c8fe1f29efbb5ede71d
exact7,exact7__recovered29__D1000__f7__d5,recovered29,4.7,ABS,2498,623.6323462751891,"{""D"": 1000, ""draw"": 5, ""f"": 7, ""kind"": ""fraction""}",results/archives/PAPERB_B9C_REMAINING_AUTHOR_RUN_050926.zip,PAPERB_B9C_REMAINING_AUTHOR_RUN_050926/raw/exact7/exact7__recovered29__D1000__f7__d5.npz,b8c915d0974db0f43f20b761a6af78eb523ca1ef39ea2c8fe1f29efbb5ede71d
exact7,exact7__recovered29__D1000__f7__d5,recovered29,4.7,DIFF,2498,953.1631447672901,"{""D"": 1000, ""draw"": 5, ""f"": 7, ""kind"": ""fraction""}",results/archives/PAPERB_B9C_REMAINING_AUTHOR_RUN_050926.zip,PAPERB_B9C_REMAINING_AUTHOR_RUN_050926/raw/exact7/exact7__recovered29__D1000__f7__d5.npz,b8c915d0974db0f43f20b761a6af78eb523ca1ef39ea2c8fe1f29efbb5ede71d
exact7,exact7__recovered29__D1000__f7__d5,recovered29,4.7,Min-Max,2498,494.83485781694293,"{""D"": 1000, ""draw"": 5, ""f"": 7, ""kind"": ""fraction""}",results/archives/PAPERB_B9C_REMAINING_AUTHOR_RUN_050926.zip,PAPERB_B9C_REMAINING_AUTHOR_RUN_050926/raw/exact7/exact7__recovered29__D1000__f7__d5.npz,b8c915d0974db0f43f20b761a6af78eb523ca1ef39ea2c8fe1f29efbb5ede71d
exact7,exact7__recovered29__D1000__f7__d6,recovered29,4.7,WCL,2498,601.7177587195731,"{""D"": 1000, ""draw"": 6, ""f"": 7, ""kind"": ""fraction""}",results/archives/PAPERB_B9C_REMAINING_AUTHOR_RUN_050926.zip,PAPERB_B9C_REMAINING_AUTHOR_RUN_050926/raw/exact7/exact7__recovered29__D1000__f7__d6.npz,30209e1269569d4ce5f7976637699bfec6e61ca9f73e5e051a700a994ea661ed
exact7,exact7__recovered29__D1000__f7__d6,recovered29,4.7,ABS,2498,801.6052175748482,"{""D"": 1000, ""draw"": 6, ""f"": 7, ""kind"": ""fraction""}",results/archives/PAPERB_B9C_REMAINING_AUTHOR_RUN_050926.zip,PAPERB_B9C_REMAINING_AUTHOR_RUN_050926/raw/exact7/exact7__recovered29__D1000__f7__d6.npz,30209e1269569d4ce5f7976637699bfec6e61ca9f73e5e051a700a994ea661ed
exact7,exact7__recovered29__D1000__f7__d6,recovered29,4.7,DIFF,2498,1050.3733400589995,"{""D"": 1000, ""draw"": 6, ""f"": 7, ""kind"": ""fraction""}",results/archives/PAPERB_B9C_REMAINING_AUTHOR_RUN_050926.zip,PAPERB_B9C_REMAINING_AUTHOR_RUN_050926/raw/exact7/exact7__recovered29__D1000__f7__d6.npz,30209e1269569d4ce5f7976637699bfec6e61ca9f73e5e051a700a994ea661ed
exact7,exact7__recovered29__D1000__f7__d6,recovered29,4.7,Min-Max,2498,623.0836006945981,"{""D"": 1000, ""draw"": 6, ""f"": 7, ""kind"": ""fraction""}",results/archives/PAPERB_B9C_REMAINING_AUTHOR_RUN_050926.zip,PAPERB_B9C_REMAINING_AUTHOR_RUN_050926/raw/exact7/exact7__recovered29__D1000__f7__d6.npz,30209e1269569d4ce5f7976637699bfec6e61ca9f73e5e051a700a994ea661ed
exact7,exact7__recovered29__D1000__f7__d7,recovered29,4.7,WCL,2498,595.3727713831604,"{""D"": 1000, ""draw"": 7, ""f"": 7, ""kind"": ""fraction""}",results/archives/PAPERB_B9C_REMAINING_AUTHOR_RUN_050926.zip,PAPERB_B9C_REMAINING_AUTHOR_RUN_050926/raw/exact7/exact7__recovered29__D1000__f7__d7.npz,c087b71b7819a3346910e26af653182e94752cba8af3ae03f6d02f081da47ed4
exact7,exact7__recovered29__D1000__f7__d7,recovered29,4.7,ABS,2498,646.3027964086136,"{""D"": 1000, ""draw"": 7, ""f"": 7, ""kind"": ""fraction""}",results/archives/PAPERB_B9C_REMAINING_AUTHOR_RUN_050926.zip,PAPERB_B9C_REMAINING_AUTHOR_RUN_050926/raw/exact7/exact7__recovered29__D1000__f7__d7.npz,c087b71b7819a3346910e26af653182e94752cba8af3ae03f6d02f081da47ed4
exact7,exact7__recovered29__D1000__f7__d7,recovered29,4.7,DIFF,2498,972.4816255434331,"{""D"": 1000, ""draw"": 7, ""f"": 7, ""kind"": ""fraction""}",results/archives/PAPERB_B9C_REMAINING_AUTHOR_RUN_050926.zip,PAPERB_B9C_REMAINING_AUTHOR_RUN_050926/raw/exact7/exact7__recovered29__D1000__f7__d7.npz,c087b71b7819a3346910e26af653182e94752cba8af3ae03f6d02f081da47ed4
exact7,exact7__recovered29__D1000__f7__d7,recovered29,4.7,Min-Max,2498,475.67598601598013,"{""D"": 1000, ""draw"": 7, ""f"": 7, ""kind"": ""fraction""}",results/archives/PAPERB_B9C_REMAINING_AUTHOR_RUN_050926.zip,PAPERB_B9C_REMAINING_AUTHOR_RUN_050926/raw/exact7/exact7__recovered29__D1000__f7__d7.npz,c087b71b7819a3346910e26af653182e94752cba8af3ae03f6d02f081da47ed4
exact7,exact7__recovered29__D10000__f7__d0,recovered29,4.7,WCL,2498,896.207596410683,"{""D"": 10000, ""draw"": 0, ""f"": 7, ""kind"": ""fraction""}",results/archives/PAPERB_B9C_REMAINING_AUTHOR_RUN_050926.zip,PAPERB_B9C_REMAINING_AUTHOR_RUN_050926/raw/exact7/exact7__recovered29__D10000__f7__d0.npz,a0a9d1f35597bf041061ace3026cfbb056db8a2258dd11ecef19aa54fe04d88b
exact7,exact7__recovered29__D10000__f7__d0,recovered29,4.7,ABS,2498,765.1357049386231,"{""D"": 10000, ""draw"": 0, ""f"": 7, ""kind"": ""fraction""}",results/archives/PAPERB_B9C_REMAINING_AUTHOR_RUN_050926.zip,PAPERB_B9C_REMAINING_AUTHOR_RUN_050926/raw/exact7/exact7__recovered29__D10000__f7__d0.npz,a0a9d1f35597bf041061ace3026cfbb056db8a2258dd11ecef19aa54fe04d88b
