stage,substrate,exponent,method,condition,reference_m,median_m,min_m,max_m,replicates,effect_pct,min_pct,max_pct,precision
exact7,recovered29,4.7,WCL,reference,597.6726773737064,597.6726773737064,597.6726773737064,597.6726773737064,1,0.0,0.0,0.0,full precision derived from retained author NPZ
exact7,recovered29,4.7,ABS,reference,641.0128583786435,641.0128583786435,641.0128583786435,641.0128583786435,1,0.0,0.0,0.0,full precision derived from retained author NPZ
exact7,recovered29,4.7,DIFF,reference,963.9527294587203,963.9527294587203,963.9527294587203,963.9527294587203,1,0.0,0.0,0.0,full precision derived from retained author NPZ
exact7,recovered29,4.7,Min-Max,reference,466.00552668865595,466.00552668865595,466.00552668865595,466.00552668865595,1,0.0,0.0,0.0,full precision derived from retained author NPZ
exact7,recovered29,4.7,WCL,fraction_f7_D1000,597.6726773737064,635.3487468210661,595.3727713831604,809.5365938722035,8,6.303796521687413,-0.38481029460008825,35.448151558386385,full precision derived from retained author NPZ
exact7,recovered29,4.7,ABS,fraction_f7_D1000,641.0128583786435,688.5975464495068,623.6323462751891,801.6052175748482,8,7.423359367739116,-2.711413956252936,25.052907612867806,full precision derived from retained author NPZ
exact7,recovered29,4.7,DIFF,fraction_f7_D1000,963.9527294587203,1055.1024736203335,953.1631447672901,1531.4932782555557,8,9.455831326168417,-1.1193064101274801,58.87638796515688,full precision derived from retained author NPZ
exact7,recovered29,4.7,Min-Max,fraction_f7_D1000,466.00552668865595,499.7755656555688,472.43852683569435,682.8762502534686,8,7.246703533083856,1.3804557625635985,46.53822994457889,full precision derived from retained author NPZ
exact7,recovered29,4.7,WCL,fraction_f7_D10000,597.6726773737064,705.8116263857701,598.8529006035549,1474.8230286146786,8,18.09333990090494,0.19746983165344234,146.76099216971852,full precision derived from retained author NPZ
exact7,recovered29,4.7,ABS,fraction_f7_D10000,641.0128583786435,705.1407249401524,659.6862981113939,923.5475464807474,8,10.004146675577111,2.913114688523149,44.07629026611693,full precision derived from retained author NPZ
exact7,recovered29,4.7,DIFF,fraction_f7_D10000,963.9527294587203,947.7917423778896,840.6107882661281,1299.7969946022456,8,-1.676533152191548,-12.79543461242662,34.84032514043597,full precision derived from retained author NPZ
exact7,recovered29,4.7,Min-Max,fraction_f7_D10000,466.00552668865595,702.6664901152606,502.45980015218373,1120.647804457496,8,50.78501216675929,7.822712688101515,140.47950942140108,full precision derived from retained author NPZ
exact7,official32_minus71,4.7,WCL,reference,593.7425223082155,593.7425223082155,593.7425223082155,593.7425223082155,1,0.0,0.0,0.0,full precision derived from retained author NPZ
exact7,official32_minus71,4.7,ABS,reference,555.6165186830742,555.6165186830742,555.6165186830742,555.6165186830742,1,0.0,0.0,0.0,full precision derived from retained author NPZ
exact7,official32_minus71,4.7,DIFF,reference,1082.7111969409727,1082.7111969409727,1082.7111969409727,1082.7111969409727,1,0.0,0.0,0.0,full precision derived from retained author NPZ
exact7,official32_minus71,4.7,Min-Max,reference,478.88143519512585,478.88143519512585,478.88143519512585,478.88143519512585,1,0.0,0.0,0.0,full precision derived from retained author NPZ
exact7,official32_minus71,4.7,WCL,fraction_f7_D1000,593.7425223082155,639.2661566784136,585.0699617320637,754.9734554390573,8,7.667234981456578,-1.4606601768114251,27.15502546525475,full precision derived from retained author NPZ
exact7,official32_minus71,4.7,ABS,fraction_f7_D1000,555.6165186830742,579.3639528786123,564.2825004596522,685.3948428902359,8,4.274069146076575,1.5597055676310911,23.357535250169136,full precision derived from retained author NPZ
exact7,official32_minus71,4.7,DIFF,fraction_f7_D1000,1082.7111969409727,1115.9258967566261,1056.2534765645787,1554.9231710950226,8,3.0677340281966416,-2.443654452927622,43.61384416160184,full precision derived from retained author NPZ
exact7,official32_minus71,4.7,Min-Max,fraction_f7_D1000,478.88143519512585,502.3506991483001,481.15155737107045,585.4458444175696,8,4.900850654945822,0.47404681182088826,22.252775194557877,full precision derived from retained author NPZ
exact7,official32_minus71,4.7,WCL,fraction_f7_D10000,593.7425223082155,680.9610508052311,620.4699395479507,802.1784256471586,8,14.689621379642396,4.501516437770121,35.10543636467774,full precision derived from retained author NPZ
exact7,official32_minus71,4.7,ABS,fraction_f7_D10000,555.6165186830742,628.8310173288379,589.5586826222644,647.5128885706902,8,13.17716377822912,6.108919155182812,16.539531636933564,full precision derived from retained author NPZ
exact7,official32_minus71,4.7,DIFF,fraction_f7_D10000,1082.7111969409727,893.7577353497519,790.2302802628908,977.843908025148,8,-17.451880254409357,-27.013751913200856,-9.685619693609011,full precision derived from retained author NPZ
exact7,official32_minus71,4.7,Min-Max,fraction_f7_D10000,478.88143519512585,645.222183012278,541.3539097372166,899.7853964678291,8,34.73526756145281,13.045499355521178,87.89314647397032,full precision derived from retained author NPZ
exact7,official33_published,4.7,WCL,reference,584.7477072723547,584.7477072723547,584.7477072723547,584.7477072723547,1,0.0,0.0,0.0,full precision derived from retained author NPZ
exact7,official33_published,4.7,ABS,reference,527.7528095638735,527.7528095638735,527.7528095638735,527.7528095638735,1,0.0,0.0,0.0,full precision derived from retained author NPZ
exact7,official33_published,4.7,DIFF,reference,1011.5353965136167,1011.5353965136167,1011.5353965136167,1011.5353965136167,1,0.0,0.0,0.0,full precision derived from retained author NPZ
exact7,official33_published,4.7,Min-Max,reference,467.635802988949,467.635802988949,467.635802988949,467.635802988949,1,0.0,0.0,0.0,full precision derived from retained author NPZ
exact7,official33_published,4.7,WCL,fraction_f7_D1000,584.7477072723547,627.5734439947425,530.1463832558352,751.5378080114979,8,7.323797287236079,-9.337586678401138,28.523429620128173,full precision derived from retained author NPZ
exact7,official33_published,4.7,ABS,fraction_f7_D1000,527.7528095638735,545.753235355413,524.8032554264498,639.4919358167793,8,3.410768349374553,-0.5588893292413025,21.172625560296932,full precision derived from retained author NPZ
exact7,official33_published,4.7,DIFF,fraction_f7_D1000,1011.5353965136167,1109.4321013358547,1007.5871899329527,1613.7528832642943,8,9.67803056221772,-0.390318183058344,59.53498897085515,full precision derived from retained author NPZ
exact7,official33_published,4.7,Min-Max,fraction_f7_D1000,467.635802988949,496.0910310179941,456.37874822689787,546.0608440012381,8,6.084912200299927,-2.4072268825655287,16.770538207516676,full precision derived from retained author NPZ
exact7,official33_published,4.7,WCL,fraction_f7_D10000,584.7477072723547,671.0296718912246,584.9769874283049,762.5709344086763,8,14.755417344233011,0.039210099175897614,30.410247859851445,full precision derived from retained author NPZ
exact7,official33_published,4.7,ABS,fraction_f7_D10000,527.7528095638735,584.5106567104315,534.9569268182976,644.108629741506,8,10.754627188713933,1.365055215978378,22.04740895151029,full precision derived from retained author NPZ
exact7,official33_published,4.7,DIFF,fraction_f7_D10000,1011.5353965136167,813.4203435728898,747.0545339461954,950.086388490125,8,-19.585577887195562,-26.14647628535666,-6.074825283947879,full precision derived from retained author NPZ
exact7,official33_published,4.7,Min-Max,fraction_f7_D10000,467.635802988949,579.3750789528881,520.85051074687,826.9043331787013,8,23.89450834383176,11.379519578653499,76.82656629228246,full precision derived from retained author NPZ
exact7,official33_repaired71,4.7,WCL,reference,579.9529674978758,579.9529674978758,579.9529674978758,579.9529674978758,1,0.0,0.0,0.0,full precision derived from retained author NPZ
exact7,official33_repaired71,4.7,ABS,reference,527.516800684027,527.516800684027,527.516800684027,527.516800684027,1,0.0,0.0,0.0,full precision derived from retained author NPZ
exact7,official33_repaired71,4.7,DIFF,reference,1012.5701806878126,1012.5701806878126,1012.5701806878126,1012.5701806878126,1,0.0,0.0,0.0,full precision derived from retained author NPZ
exact7,official33_repaired71,4.7,Min-Max,reference,465.808146845612,465.808146845612,465.808146845612,465.808146845612,1,0.0,0.0,0.0,full precision derived from retained author NPZ
exact7,official33_repaired71,4.7,WCL,fraction_f7_D1000,579.9529674978758,623.8286782174146,529.0431214514989,747.6021165199284,8,7.565391191777893,-8.778271497776814,28.907369807132962,full precision derived from retained author NPZ
exact7,official33_repaired71,4.7,ABS,fraction_f7_D1000,527.516800684027,543.5525021687977,523.6623896427274,638.3363846403312,8,3.039846591421795,-0.7306707646660027,21.007782844566332,full precision derived from retained author NPZ
exact7,official33_repaired71,4.7,DIFF,fraction_f7_D1000,1012.5701806878126,1113.3323898806202,1007.0861461980845,1607.0934296203698,8,9.95113337471211,-0.5415954957317525,58.71427583703018,full precision derived from retained author NPZ
exact7,official33_repaired71,4.7,Min-Max,fraction_f7_D1000,465.808146845612,495.63368010415013,456.2637075355484,545.9344812010388,8,6.402965139298767,-2.0490065222553957,17.201574274308257,full precision derived from retained author NPZ
exact7,official33_repaired71,4.7,WCL,fraction_f7_D10000,579.9529674978758,668.8270113373476,582.2491358895891,758.7681417829467,8,15.324353666626827,0.39592320763868133,30.83270270286632,full precision derived from retained author NPZ
exact7,official33_repaired71,4.7,ABS,fraction_f7_D10000,527.516800684027,583.583905782918,532.5873914836142,643.490040177913,8,10.628496576069095,0.961218826208416,21.984748039020634,full precision derived from retained author NPZ
exact7,official33_repaired71,4.7,DIFF,fraction_f7_D10000,1012.5701806878126,813.265040482431,746.7338780627789,949.7703509381037,8,-19.683093972804805,-26.253617546238424,-6.2020224323661814,full precision derived from retained author NPZ
exact7,official33_repaired71,4.7,Min-Max,fraction_f7_D10000,465.808146845612,578.3835532527028,519.2717841158191,822.1295615282183,8,24.167762451008162,11.477608889465628,76.4953161715967,full precision derived from retained author NPZ
exact7,recovered27_common,4.7,WCL,reference,593.2183143536402,593.2183143536402,593.2183143536402,593.2183143536402,1,0.0,0.0,0.0,full precision derived from retained author NPZ
