receiver,initial_radius_m
1,4013.6533799797307
2,4526.566934734184
4,5668.708299686658
5,5845.5283166898935
6,13505.155358417234
7,6288.285327062026
9,1157.5334067311273
10,2226.4862105824573
11,33411.73102916756
12,1091.9239310168618
14,664.3794677891052
15,5560.478840171124
17,2219.4496171393607
18,3051.802894782792
19,2989.5962480647986
20,1159.4991609261529
23,5922.315998678491
25,26919.582946024613
27,1306.0209974115485
32,996.2510284249927
33,4087.416767289143
34,15437.333638546132
35,26162.376104005572
37,24710.238226554615
41,3824.875544810283
50,5562.004484422966
69,1809.2291167196474
70,39082.02644846361
71,1395.0733180257032
